Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;09:00:00;0.0;18.5;18.7;18.4;90.0;912.6;28.1
2023-01-01;10:00:00;0.0;20.3;20.5;18.5;81.0;913.1;593.8
2023-01-01;11:00:00;0.0;21.6;22.2;20.3;74.0;913.5;1398.0
2023-01-01;12:00:00;0.0;23.5;23.5;21.5;68.0;913.8;2687.6
2023-01-01;13:00:00;0.0;25.2;25.2;23.4;64.0;913.6;3590.1
2023-01-01;14:00:00;0.0;26.9;26.9;25.0;56.0;913.1;4030.1
2023-01-01;15:00:00;0.0;26.8;28.7;26.3;54.0;912.3;3895.3
2023-01-01;16:00:00;0.0;27.0;28.8;26.3;56.0;911.5;2613.8
2023-01-01;17:00:00;0.0;24.0;27.0;23.4;67.0;911.6;1158.7
2023-01-01;18:00:00;0.0;25.0;25.6;23.9;67.0;911.2;3416.4
2023-01-01;19:00:00;0.0;23.5;26.1;23.5;73.0;910.8;2627.4
2023-01-01;20:00:00;0.0;20.9;23.9;20.9;75.0;911.4;294.6
2023-01-01;21:00:00;4.6;19.2;20.9;17.9;85.0;911.1;260.8
2023-01-01;22:00:00;0.0;19.8;20.0;19.2;83.0;910.9;492.8
2023-01-01;23:00:00;0.0;19.2;19.8;19.0;84.0;912.0;9.7
2023-01-02;00:00:00;0.0;19.6;19.7;19.1;93.0;912.0;1.6
2023-01-02;01:00:00;0.0;19.4;19.7;19.2;93.0;911.9;3.0
2023-01-02;02:00:00;0.0;19.4;19.5;19.4;91.0;912.3;3.0
2023-01-02;03:00:00;0.0;19.5;19.5;19.4;90.0;912.2;2.5
2023-01-02;04:00:00;0.0;19.4;19.6;19.4;91.0;911.8;1.7
2023-01-02;05:00:00;0.0;19.1;19.5;19.0;93.0;910.8;1.7
2023-01-02;06:00:00;0.0;19.1;19.2;19.1;92.0;910.5;0.0
2023-01-02;07:00:00;0.0;18.6;19.1;18.6;92.0;910.5;0.0
2023-01-02;08:00:00;0.0;18.1;18.6;18.0;93.0;910.7;0.0
