Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-05-03;00:00:00;0.0;17.6;17.7;17.2;84.0;923.8;5.8
2023-05-03;01:00:00;0.0;17.0;17.6;17.0;88.0;924.4;5.8
2023-05-03;02:00:00;0.0;17.3;17.6;17.0;86.0;924.3;5.8
2023-05-03;03:00:00;0.0;17.1;17.3;17.0;88.0;923.9;5.8
2023-05-03;04:00:00;0.0;16.9;17.6;16.9;87.0;924.1;5.8
2023-05-03;05:00:00;0.0;16.8;17.2;16.7;89.0;924.0;5.8
2023-05-03;06:00:00;0.0;16.7;16.9;16.7;89.0;923.9;5.8
2023-05-03;07:00:00;0.0;16.2;16.8;16.2;92.0;923.6;5.8
2023-05-03;08:00:00;0.0;16.4;16.7;16.2;96.0;923.8;5.8
2023-05-03;09:00:00;0.0;16.2;16.6;16.2;98.0;924.6;5.8
2023-05-03;10:00:00;0.0;16.3;16.3;16.2;99.0;924.6;48.5
2023-05-03;11:00:00;0.0;17.5;17.6;16.3;98.0;925.6;354.4
2023-05-03;12:00:00;7.6;19.5;19.6;17.5;84.0;925.7;844.9
2023-05-03;13:00:00;0.0;20.8;20.8;19.3;83.0;925.5;1080.8
2023-05-03;14:00:00;0.0;23.1;23.3;20.5;66.0;925.0;2519.9
2023-05-03;15:00:00;0.0;24.8;25.2;23.1;61.0;924.1;2637.5
2023-05-03;16:00:00;0.0;24.6;25.8;24.5;60.0;923.7;2216.8
2023-05-03;17:00:00;0.0;25.4;25.8;23.9;63.0;923.2;1354.6
2023-05-03;18:00:00;0.0;24.4;26.1;24.4;64.0;923.1;1238.2
2023-05-03;19:00:00;0.0;24.9;25.3;24.2;60.0;922.9;1055.6
2023-05-03;20:00:00;0.0;23.3;24.9;23.3;69.0;923.1;216.7
2023-05-03;21:00:00;0.0;21.8;23.3;21.8;74.0;923.3;1.9
2023-05-03;22:00:00;0.0;21.5;21.8;21.1;76.0;924.1;1.9
2023-05-03;23:00:00;0.0;20.2;21.5;20.2;82.0;924.5;1.9
2023-05-04;00:00:00;0.0;18.7;20.2;18.7;88.0;924.7;1.9
2023-05-04;01:00:00;0.0;18.0;19.5;18.0;88.0;925.1;1.9
2023-05-04;02:00:00;0.0;18.4;18.6;17.9;89.0;924.9;1.9
2023-05-04;03:00:00;0.0;18.3;18.4;17.9;91.0;924.7;1.9
2023-05-04;04:00:00;0.0;18.0;18.3;18.0;92.0;924.4;1.9
2023-05-04;05:00:00;0.0;18.5;18.5;18.0;91.0;924.6;1.9
2023-05-04;06:00:00;0.0;18.5;18.5;18.3;91.0;924.5;1.9
2023-05-04;07:00:00;0.0;18.2;18.5;18.2;93.0;924.3;1.9
2023-05-04;08:00:00;0.0;17.6;18.2;17.6;96.0;924.6;1.9
2023-05-04;09:00:00;0.0;17.5;17.6;17.4;98.0;925.2;1.9
2023-05-04;10:00:00;0.0;18.1;18.1;17.4;97.0;925.8;130.3
2023-05-04;11:00:00;0.0;20.7;21.7;18.2;82.0;926.6;735.0
2023-05-04;12:00:00;0.0;23.4;23.4;20.6;73.0;926.9;1116.7
2023-05-04;13:00:00;0.0;24.7;24.9;23.1;64.0;926.8;2103.1
2023-05-04;14:00:00;0.0;26.0;26.3;24.7;62.0;926.3;2350.0
2023-05-04;15:00:00;0.0;26.2;27.0;25.5;63.0;925.8;2564.1
2023-05-04;16:00:00;0.0;26.6;26.9;25.5;63.0;925.0;2092.3
2023-05-04;17:00:00;0.0;25.9;27.9;25.6;65.0;924.5;1503.8
2023-05-04;18:00:00;0.0;25.5;27.3;25.5;65.0;924.3;1081.5
2023-05-04;19:00:00;0.0;25.1;26.2;25.1;68.0;924.4;587.8
2023-05-04;20:00:00;0.0;24.4;25.6;24.4;69.0;924.9;265.1
2023-05-04;21:00:00;0.0;21.6;24.4;21.6;83.0;925.1;2.4
2023-05-04;22:00:00;0.0;20.9;21.6;20.7;87.0;926.0;2.4
2023-05-04;23:00:00;0.0;20.7;21.1;20.6;87.0;926.6;2.4
2023-05-05;00:00:00;0.0;20.0;20.8;20.0;89.0;927.1;2.4
2023-05-05;01:00:00;0.0;19.8;20.1;19.7;89.0;927.6;2.4
2023-05-05;02:00:00;0.0;19.5;19.9;19.5;86.0;927.9;2.4
2023-05-05;03:00:00;0.0;19.3;19.6;19.3;84.0;927.8;2.4
2023-05-05;04:00:00;0.0;18.8;19.3;18.8;84.0;927.9;2.4
2023-05-05;05:00:00;0.0;18.4;19.0;18.4;86.0;927.3;2.4
