Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;10:00:00;0.0;22.9;22.9;22.3;88.0;966.4;76.9
2023-01-01;11:00:00;0.0;25.1;25.1;22.9;79.0;967.2;694.8
2023-01-01;12:00:00;0.0;27.3;27.4;25.1;71.0;967.8;1542.8
2023-01-01;13:00:00;0.0;28.9;28.9;27.2;66.0;968.1;2368.2
2023-01-01;14:00:00;0.0;29.9;30.6;28.9;61.0;968.0;2787.6
2023-01-01;15:00:00;0.0;31.4;32.2;29.9;54.0;967.7;3138.6
2023-01-01;16:00:00;0.0;33.2;34.1;30.9;49.0;967.0;3307.4
2023-01-01;17:00:00;0.0;33.7;34.4;32.2;46.0;966.0;3339.5
2023-01-01;18:00:00;0.0;35.2;35.2;33.3;41.0;965.1;3328.7
2023-01-01;19:00:00;0.0;35.5;35.7;33.0;38.0;964.2;2091.7
2023-01-01;20:00:00;0.0;34.2;35.8;34.1;38.0;963.5;2427.6
2023-01-01;21:00:00;0.0;35.2;35.2;33.8;37.0;962.4;1673.2
2023-01-01;22:00:00;0.0;33.2;35.3;33.0;43.0;962.2;919.9
2023-01-01;23:00:00;0.0;29.6;33.2;29.6;58.0;963.0;238.9
2023-01-02;00:00:00;0.0;27.1;29.6;27.1;70.0;963.7;238.9
2023-01-02;01:00:00;0.0;26.4;27.1;26.4;74.0;964.0;238.9
2023-01-02;02:00:00;0.0;25.9;26.6;25.7;77.0;965.1;238.9
2023-01-02;03:00:00;0.0;26.1;26.1;25.4;74.0;965.4;238.9
2023-01-02;04:00:00;0.0;25.4;26.1;25.2;76.0;965.2;238.9
2023-01-02;05:00:00;0.0;24.9;25.6;24.3;79.0;964.7;238.9
2023-01-02;06:00:00;0.0;24.5;25.0;24.3;82.0;964.2;238.9
2023-01-02;07:00:00;0.0;23.9;24.5;23.8;84.0;964.0;238.9
2023-01-02;08:00:00;0.0;24.2;24.4;23.7;83.0;964.3;238.9
2023-01-02;09:00:00;0.0;23.6;24.2;23.6;84.0;964.5;238.9
2023-01-02;10:00:00;4.6;20.7;23.7;20.7;91.0;967.3;238.9
2023-01-02;11:00:00;35.4;20.1;20.7;20.1;96.0;967.2;3.2
2023-01-02;12:00:00;4.2;20.3;20.4;20.1;97.0;967.0;25.8
2023-01-02;13:00:00;0.2;21.2;21.3;20.3;97.0;967.6;473.3
2023-01-02;14:00:00;0.0;22.5;22.8;21.2;95.0;968.3;885.5
