Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;11:00:00;0.0;23.6;24.1;22.5;77.0;956.5;1176.7
2023-01-01;12:00:00;0.0;25.4;25.7;23.6;73.0;956.7;2107.1
2023-01-01;13:00:00;0.0;26.9;27.1;25.1;65.0;956.7;2563.4
2023-01-01;14:00:00;0.0;27.3;27.7;26.3;64.0;956.5;1562.9
2023-01-01;15:00:00;0.0;29.1;29.3;27.2;59.0;955.9;2981.3
2023-01-01;16:00:00;0.0;29.4;30.7;28.3;56.0;954.9;3629.6
2023-01-01;17:00:00;0.0;30.9;31.6;29.4;52.0;953.7;3849.1
2023-01-01;18:00:00;0.0;32.0;32.0;30.5;51.0;953.2;2968.9
2023-01-01;19:00:00;0.0;31.9;32.4;31.3;50.0;952.4;3074.6
2023-01-01;20:00:00;0.0;31.7;32.3;31.3;46.0;951.6;2041.2
2023-01-01;21:00:00;0.0;31.0;32.1;31.0;51.0;951.5;1071.6
2023-01-01;22:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-01;23:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-02;00:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-02;01:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-02;02:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-02;03:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-02;04:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-02;05:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-02;06:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-02;07:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-02;08:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-02;09:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-02;10:00:00;0.0;29.0;31.0;29.0;61.0;952.3;378.2
2023-01-02;11:00:00;0.0;24.1;24.2;22.9;74.0;955.0;1205.8
2023-01-02;12:00:00;0.0;25.2;25.2;23.8;74.0;955.0;1531.9
2023-01-02;13:00:00;0.0;26.0;26.2;25.0;70.0;954.3;1818.8
2023-01-02;14:00:00;0.0;27.5;27.5;25.8;71.0;953.8;2146.3
2023-01-02;15:00:00;0.0;28.0;28.2;27.2;65.0;952.8;2070.3
2023-01-02;16:00:00;0.0;28.7;29.2;27.8;63.0;951.7;2844.0
2023-01-02;17:00:00;0.0;29.9;30.4;28.7;58.0;950.4;2832.1
2023-01-02;18:00:00;0.0;29.3;30.0;29.2;61.0;949.4;1451.9
2023-01-02;19:00:00;0.0;28.7;29.3;28.7;65.0;949.0;928.1
2023-01-02;20:00:00;0.0;26.0;28.7;26.0;73.0;949.0;445.8
2023-01-02;21:00:00;0.0;24.7;26.0;24.6;73.0;949.9;423.2
2023-01-02;22:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-02;23:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;00:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;01:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;02:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;03:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;04:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;05:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;06:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;07:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;08:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;09:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;10:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;11:00:00;0.4;22.8;24.8;22.8;82.0;951.0;65.5
2023-01-03;12:00:00;0.2;21.4;24.8;22.8;92.0;953.1;93.2
2023-01-03;13:00:00;0.2;22.6;22.6;21.4;89.0;953.5;903.8
2023-01-03;14:00:00;0.0;22.8;23.3;22.5;84.0;953.6;1026.4
2023-01-03;15:00:00;0.0;24.2;25.5;22.8;74.0;952.6;2855.7
2023-01-03;16:00:00;0.0;25.9;26.6;24.2;66.0;951.5;3720.6
2023-01-03;17:00:00;0.0;26.5;27.5;25.9;67.0;950.5;2979.3
2023-01-03;18:00:00;0.0;28.6;28.6;26.5;61.0;948.9;2473.0
2023-01-03;19:00:00;0.0;29.0;29.4;28.2;58.0;948.0;2511.5
2023-01-03;20:00:00;0.0;28.7;29.3;28.4;57.0;947.8;1649.3
2023-01-03;21:00:00;0.0;28.1;28.7;27.7;63.0;948.2;666.4
2023-01-03;22:00:00;0.0;25.8;28.1;25.8;72.0;949.0;274.1
2023-01-03;23:00:00;0.0;25.8;28.1;25.8;72.0;949.0;274.1
2023-01-04;00:00:00;0.0;25.8;28.1;25.8;72.0;949.0;274.1
2023-01-04;01:00:00;0.0;25.8;28.1;25.8;72.0;949.0;274.1
2023-01-04;02:00:00;0.0;25.8;28.1;25.8;72.0;949.0;274.1
