Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;09:00:00;0.0;17.3;17.4;17.3;84;882.0;13.2
2023-01-01;10:00:00;0.0;17.7;17.7;17.3;82;882.5;169.9
2023-01-01;11:00:00;0.0;18.5;18.5;17.6;79;882.8;420.8
2023-01-01;12:00:00;0.0;19.7;19.7;18.5;75;883.2;769.5
2023-01-01;13:00:00;0.0;21.1;21.5;19.3;68;883.2;1604.3
2023-01-01;14:00:00;0.0;22.3;22.4;20.5;62;883.1;2334.8
2023-01-01;15:00:00;0.0;23.9;24.1;21.9;60;882.4;3720.2
2023-01-01;16:00:00;0.0;25.5;25.7;23.6;51;881.8;4268.1
2023-01-01;17:00:00;0.0;23.1;25.5;23.1;61;881.3;1736.3
2023-01-01;18:00:00;0.0;21.8;23.1;21.1;64;880.5;894.5
2023-01-01;19:00:00;0.0;22.8;22.8;21.7;64;880.2;779.7
2023-01-01;20:00:00;0.0;24.6;25.4;22.8;48;879.5;1891.8
2023-01-01;21:00:00;0.0;21.1;24.6;20.7;65;879.3;247.8
2023-01-01;22:00:00;0.0;21.3;21.3;20.4;67;879.6;125.3
2023-01-01;23:00:00;0.0;21.5;21.5;20.0;55;879.6;3.0
2023-01-02;00:00:00;0.0;21.7;21.7;20.0;57;880.4;3.0
2023-01-02;01:00:00;0.0;18.8;21.9;18.8;77;880.6;3.0
2023-01-02;02:00:00;0.0;19.4;19.6;18.6;71;881.2;3.0
2023-01-02;03:00:00;0.0;18.8;19.4;18.8;75;881.3;3.0
2023-01-02;04:00:00;0.0;18.2;18.8;18.2;80;880.4;3.0
2023-01-02;05:00:00;0.0;17.9;18.2;17.9;82;879.9;3.0
2023-01-02;06:00:00;0.0;17.5;17.9;17.5;84;879.6;0.3
2023-01-02;07:00:00;0.0;17.4;17.5;17.4;85;879.5;0.3
2023-01-02;08:00:00;0.0;17.4;17.5;17.4;85;879.5;0.3
2023-01-02;09:00:00;0.0;17.3;17.5;17.3;85;880.0;6.3
