Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;09:00:00;0.0;23.3;23.6;23.1;85.0;897.5;1.9
2023-01-01;10:00:00;0.0;24.7;24.7;23.3;81.0;898.3;318.2
2023-01-01;11:00:00;0.0;26.8;26.8;24.7;75.0;899.1;1042.8
2023-01-01;12:00:00;0.0;27.7;28.3;26.7;70.0;899.6;1804.0
2023-01-01;13:00:00;0.0;29.2;29.5;27.5;69.0;899.8;2129.0
2023-01-01;14:00:00;0.0;29.3;30.6;28.7;65.0;899.5;1846.2
2023-01-01;15:00:00;0.0;32.1;32.4;29.3;58.0;898.8;3202.0
2023-01-01;16:00:00;0.0;33.0;33.1;31.0;48.0;898.2;3396.6
2023-01-01;17:00:00;0.0;34.7;34.7;32.6;45.0;897.4;3954.1
2023-01-01;18:00:00;0.0;33.6;34.7;33.3;46.0;896.1;3639.5
2023-01-01;19:00:00;0.0;34.9;35.0;33.6;40.0;895.4;3083.5
2023-01-01;20:00:00;0.0;33.9;34.9;33.8;43.0;894.3;2309.1
2023-01-01;21:00:00;0.0;31.8;34.0;31.8;50.0;893.9;716.7
2023-01-01;22:00:00;0.0;30.9;31.8;30.8;51.0;894.1;118.3
2023-01-01;23:00:00;0.0;28.5;30.9;28.5;63.0;895.2;12.3
2023-01-02;00:00:00;0.0;27.9;28.5;27.8;66.0;896.2;12.3
2023-01-02;01:00:00;0.0;27.5;27.9;27.0;69.0;896.7;12.3
2023-01-02;02:00:00;0.0;25.3;27.5;25.3;77.0;897.0;12.3
2023-01-02;03:00:00;0.0;24.7;25.4;24.5;79.0;896.8;12.3
2023-01-02;04:00:00;0.0;24.0;24.7;23.9;81.0;896.2;12.3
2023-01-02;05:00:00;0.0;23.9;24.1;23.6;81.0;896.1;12.3
2023-01-02;06:00:00;0.0;23.6;24.2;23.6;83.0;896.0;12.3
2023-01-02;07:00:00;0.0;23.2;23.8;23.2;85.0;895.7;12.3
2023-01-02;08:00:00;0.0;23.2;23.3;23.1;83.0;896.0;12.3
2023-01-02;09:00:00;0.0;23.1;23.3;23.1;80.0;896.5;12.3
2023-01-02;10:00:00;0.0;23.7;23.7;23.0;80.0;896.9;64.6
2023-01-02;11:00:00;0.0;24.3;24.3;23.7;81.0;896.8;168.1
2023-01-02;12:00:00;0.0;24.3;24.4;24.2;82.0;898.2;91.7
2023-01-02;13:00:00;21.4;20.0;24.4;19.9;94.0;899.6;15.4
2023-01-02;14:00:00;11.4;20.4;20.4;19.9;95.0;900.3;18.2
2023-01-02;15:00:00;5.6;20.6;20.6;20.4;95.0;899.3;41.8
2023-01-02;16:00:00;4.0;20.9;20.9;20.6;95.0;897.9;143.5
2023-01-02;17:00:00;1.0;21.1;21.1;20.8;95.0;896.1;424.6
2023-01-02;18:00:00;0.2;22.6;22.6;21.1;86.0;895.0;936.3
2023-01-02;19:00:00;0.0;24.8;25.0;22.6;75.0;893.8;2037.9
2023-01-02;20:00:00;0.0;25.2;26.5;24.8;66.0;893.5;1958.3
2023-01-02;21:00:00;0.0;24.2;25.2;24.2;74.0;894.3;551.1
2023-01-02;22:00:00;0.0;22.8;24.1;22.8;85.0;894.8;157.1
2023-01-02;23:00:00;0.2;22.1;22.8;22.0;87.0;895.0;9.2
2023-01-03;00:00:00;0.0;21.7;22.1;21.7;89.0;895.6;9.2
2023-01-03;01:00:00;0.0;21.7;22.1;21.7;89.0;895.6;9.2
2023-01-03;02:00:00;0.0;21.3;21.6;21.3;92.0;895.8;9.2
2023-01-03;03:00:00;0.0;20.7;21.3;20.7;93.0;894.6;9.2
2023-01-03;04:00:00;0.0;20.6;20.7;20.6;94.0;894.0;9.2
2023-01-03;05:00:00;0.0;20.7;20.8;20.6;94.0;893.7;9.2
2023-01-03;06:00:00;0.0;20.7;20.8;20.7;94.0;893.8;9.2
2023-01-03;07:00:00;0.0;20.8;20.9;20.7;94.0;894.1;9.2
2023-01-03;08:00:00;0.0;20.9;20.9;20.8;95.0;895.0;9.2
2023-01-03;09:00:00;0.0;20.9;21.0;20.9;95.0;895.1;2.1
2023-01-03;10:00:00;0.0;21.1;21.1;20.9;95.0;895.8;69.5
2023-01-03;11:00:00;0.0;21.9;21.9;21.1;94.0;896.4;385.7
2023-01-03;12:00:00;0.0;24.2;24.5;21.9;81.0;896.7;1222.0
2023-01-03;13:00:00;0.0;25.5;25.7;23.6;78.0;897.1;1255.6
2023-01-03;14:00:00;0.0;25.5;25.8;24.6;76.0;896.9;1606.4
2023-01-03;15:00:00;0.0;26.5;27.8;25.5;72.0;896.0;2014.3
2023-01-03;16:00:00;0.0;27.7;28.4;26.1;71.0;894.6;2411.2
2023-01-03;17:00:00;0.0;28.9;28.9;26.7;68.0;893.6;2298.0
2023-01-03;18:00:00;0.0;27.0;29.3;26.6;72.0;892.8;1551.1
2023-01-03;19:00:00;0.0;27.5;28.8;26.4;71.0;891.9;1350.4
2023-01-03;20:00:00;0.0;26.8;28.1;26.6;76.0;891.7;1204.8
2023-01-03;21:00:00;0.0;26.1;27.1;26.1;81.0;891.5;479.1
2023-01-03;22:00:00;0.4;25.1;26.1;25.1;88.0;892.6;75.5
2023-01-03;23:00:00;0.4;24.2;25.1;24.1;90.0;892.7;75.5
2023-01-04;00:00:00;2.4;21.5;24.4;21.2;93.0;893.6;2.9
2023-01-04;01:00:00;3.2;21.6;21.6;21.5;94.0;894.5;2.9
2023-01-04;02:00:00;0.8;21.8;21.9;21.6;94.0;894.8;2.9
2023-01-04;03:00:00;1.2;21.8;21.9;21.8;94.0;894.1;2.9
2023-01-04;04:00:00;0.4;21.9;21.9;21.8;95.0;893.1;0.4
2023-01-04;05:00:00;0.2;21.9;22.0;21.8;95.0;893.1;0.6
2023-01-04;06:00:00;0.6;21.8;21.9;21.8;95.0;892.4;0.0
2023-01-04;07:00:00;1.0;21.7;21.9;21.7;95.0;892.7;0.0
2023-01-04;08:00:00;3.2;21.6;21.9;21.6;95.0;893.3;0.0
2023-01-04;09:00:00;5.6;21.6;21.7;21.5;95.0;893.5;0.0
2023-01-04;10:00:00;1.6;21.5;21.6;21.3;95.0;893.9;17.8
2023-01-04;11:00:00;0.2;21.5;21.7;21.4;95.0;894.6;123.8
2023-01-04;12:00:00;0.8;20.7;21.6;20.5;95.0;895.3;211.3
2023-01-04;13:00:00;0.2;20.8;21.0;20.5;95.0;895.7;662.8
2023-01-04;14:00:00;2.0;20.7;21.1;20.4;95.0;896.0;846.3
2023-01-04;15:00:00;0.0;21.6;21.7;20.7;93.0;896.1;1066.0
2023-01-04;16:00:00;0.0;22.5;22.9;21.4;86.0;895.9;960.6
2023-01-04;17:00:00;0.0;24.2;24.2;22.5;75.0;895.1;1993.3
2023-01-04;18:00:00;0.0;25.5;26.0;23.8;68.0;894.7;2425.3
2023-01-04;19:00:00;0.0;25.8;25.9;25.0;64.0;894.2;1726.2
2023-01-04;20:00:00;0.0;26.6;27.5;25.8;59.0;893.6;2165.3
2023-01-04;21:00:00;0.0;26.5;27.4;25.9;58.0;893.8;711.8
2023-01-04;22:00:00;0.0;24.9;26.8;24.9;58.0;894.8;271.8
2023-01-04;23:00:00;0.0;23.6;25.0;23.6;64.0;895.6;10.8
2023-01-05;00:00:00;0.0;22.5;23.7;22.5;71.0;896.3;10.8
2023-01-05;01:00:00;0.0;22.3;22.6;22.1;72.0;897.3;10.8
2023-01-05;02:00:00;0.0;21.1;22.7;21.1;83.0;897.9;10.8
2023-01-05;03:00:00;0.0;20.5;21.1;20.5;84.0;897.8;10.8
2023-01-05;04:00:00;0.0;20.0;20.7;20.0;81.0;897.6;10.8
2023-01-05;05:00:00;0.0;19.6;20.0;19.5;78.0;897.1;10.8
2023-01-05;06:00:00;0.0;18.9;19.7;18.9;77.0;896.8;10.8
2023-01-05;07:00:00;0.0;18.1;19.0;18.1;79.0;896.8;10.8
