Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;00:00:00;0.0;26.6;27.5;26.6;73;957.5;0.0
2023-01-01;01:00:00;0.0;26.0;26.6;25.9;76;958.3;0.0
2023-01-01;02:00:00;0.0;25.3;26.0;25.3;78;958.4;0.0
2023-01-01;03:00:00;0.0;25.1;25.4;24.8;76;958.4;0.0
2023-01-01;04:00:00;0.0;24.5;25.2;24.5;79;958.1;0.0
2023-01-01;05:00:00;0.0;23.9;24.5;23.9;82;957.8;0.0
2023-01-01;06:00:00;0.0;23.2;23.9;23.2;86;957.4;0.0
2023-01-01;07:00:00;0.0;23.3;23.4;23.2;85;957.1;0.0
2023-01-01;08:00:00;0.0;23.1;23.3;23.1;84;957.6;0.0
2023-01-01;09:00:00;0.0;22.8;23.2;22.7;85;958.3;7.6
2023-01-01;10:00:00;0.0;24.3;24.3;22.7;78;958.7;401.3
2023-01-01;11:00:00;0.0;25.8;26.0;24.3;73;959.4;1243.5
2023-01-01;12:00:00;0.0;27.3;27.5;25.8;71;960.1;2100.3
2023-01-01;13:00:00;0.0;28.4;28.4;26.9;71;960.1;2809.8
2023-01-01;14:00:00;0.0;29.8;29.8;28.1;68;960.1;3268.2
2023-01-01;15:00:00;0.0;30.3;30.9;29.3;63;959.5;3853.8
2023-01-01;16:00:00;0.0;31.3;31.8;29.5;60;958.8;3569.6
2023-01-01;17:00:00;0.0;32.0;32.5;29.9;57;957.9;3048.8
2023-01-01;18:00:00;0.0;32.9;33.4;31.8;52;956.9;3584.4
2023-01-01;19:00:00;0.0;33.4;34.0;32.9;50;956.1;2967.7
2023-01-01;20:00:00;0.0;32.5;33.8;32.5;50;955.3;2157.6
2023-01-01;21:00:00;0.0;32.6;33.5;32.2;51;954.6;1294.3
2023-01-01;22:00:00;0.0;30.2;32.6;30.2;59;954.8;482.6
2023-01-01;23:00:00;0.0;28.2;30.2;28.2;63;955.7;16.0
2023-01-02;00:00:00;0.0;27.3;28.2;27.2;68;956.4;0.0
2023-01-02;01:00:00;0.0;26.2;27.3;26.1;74;956.7;0.0
2023-01-02;02:00:00;0.0;25.4;26.2;25.3;74;957.4;0.0
2023-01-02;03:00:00;0.0;24.5;25.5;24.3;76;957.1;0.0
