Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;09:00:00;0.0;23.0;23.0;21.9;82.0;951.4;88.3
2023-01-01;10:00:00;0.0;24.5;24.5;23.0;75.0;952.1;847.4
2023-01-01;11:00:00;0.0;25.2;25.4;24.3;73.0;952.7;1436.5
2023-01-01;12:00:00;0.0;26.4;26.8;25.2;69.0;953.1;1582.5
2023-01-01;13:00:00;0.0;27.0;28.1;26.4;66.0;953.0;2518.6
2023-01-01;14:00:00;0.0;28.2;28.5;27.0;62.0;952.7;2646.6
2023-01-01;15:00:00;0.0;29.8;30.1;28.0;57.0;952.0;3136.7
2023-01-01;16:00:00;0.0;30.0;30.6;29.5;52.0;950.9;3442.5
2023-01-01;17:00:00;0.0;30.9;31.5;29.8;54.0;949.8;3318.3
2023-01-01;18:00:00;0.0;32.1;32.2;30.7;48.0;949.1;2697.1
2023-01-01;19:00:00;0.0;31.7;32.4;30.7;47.0;948.4;2307.4
2023-01-01;20:00:00;0.0;23.6;31.7;23.6;75.0;949.0;288.2
2023-01-01;21:00:00;0.0;28.4;28.5;23.6;67.0;947.6;630.9
2023-01-01;22:00:00;0.0;26.6;28.4;26.1;71.0;948.2;61.0
2023-01-01;23:00:00;0.0;26.3;26.7;25.2;68.0;949.4;61.0
2023-01-02;00:00:00;0.0;25.9;26.3;25.0;71.0;950.1;61.0
2023-01-02;01:00:00;0.0;25.8;26.1;25.8;73.0;950.2;61.0
2023-01-02;02:00:00;0.0;25.2;25.8;25.2;76.0;950.2;61.0
2023-01-02;03:00:00;0.0;25.0;25.2;24.8;75.0;949.5;61.0
2023-01-02;04:00:00;0.0;24.1;25.1;24.1;79.0;949.3;61.0
2023-01-02;05:00:00;0.0;23.4;24.2;23.0;84.0;949.5;61.0
2023-01-02;06:00:00;0.0;24.0;24.0;23.4;77.0;949.5;61.0
2023-01-02;07:00:00;0.0;23.6;24.0;23.5;78.0;949.4;61.0
2023-01-02;08:00:00;0.0;23.1;23.7;23.0;81.0;949.7;61.0
2023-01-02;09:00:00;0.0;23.2;23.2;23.0;81.0;950.2;88.3
2023-01-02;10:00:00;0.0;23.7;23.7;23.2;79.0;950.8;358.7
2023-01-02;11:00:00;0.0;23.6;23.7;23.6;79.0;950.5;277.9
2023-01-02;12:00:00;0.0;24.6;24.6;23.6;76.0;950.3;615.6
2023-01-02;13:00:00;0.0;25.7;25.7;24.6;73.0;950.4;1187.5
2023-01-02;14:00:00;2.2;18.9;25.8;18.9;92.0;950.9;333.7
2023-01-02;15:00:00;5.2;19.5;19.5;18.7;94.0;950.4;233.8
2023-01-02;16:00:00;0.8;19.9;19.9;19.5;93.0;949.4;444.2
2023-01-02;17:00:00;0.8;21.1;21.1;19.9;90.0;948.4;754.8
2023-01-02;18:00:00;0.0;21.8;22.0;21.0;84.0;947.9;1063.6
2023-01-02;19:00:00;0.0;23.6;24.0;21.8;72.0;946.7;1773.8
2023-01-02;20:00:00;0.0;23.7;24.9;23.6;69.0;946.6;1142.4
2023-01-02;21:00:00;0.0;23.0;23.8;23.0;77.0;947.0;275.7
2023-01-02;22:00:00;0.0;21.9;23.0;21.9;87.0;947.8;15.1
2023-01-02;23:00:00;0.0;21.8;21.9;21.7;90.0;948.1;15.1
2023-01-03;00:00:00;0.0;21.9;21.9;21.4;91.0;948.2;15.1
2023-01-03;01:00:00;0.0;21.6;22.1;21.6;89.0;948.7;15.1
2023-01-03;02:00:00;0.0;21.4;21.6;21.3;92.0;948.5;15.1
2023-01-03;03:00:00;0.0;20.8;21.4;20.8;93.0;947.5;15.1
2023-01-03;04:00:00;0.0;20.6;20.8;20.6;95.0;946.3;15.1
2023-01-03;05:00:00;0.0;20.5;20.6;20.3;96.0;946.1;15.1
2023-01-03;06:00:00;0.0;20.3;20.6;20.3;96.0;946.7;15.1
2023-01-03;07:00:00;0.0;19.8;20.3;19.8;96.0;946.7;0.6
2023-01-03;08:00:00;0.0;19.9;20.0;19.7;96.0;948.0;0.6
2023-01-03;09:00:00;0.0;20.1;20.1;19.8;96.0;948.5;60.0
2023-01-03;10:00:00;0.0;20.7;20.8;20.0;94.0;949.1;251.0
2023-01-03;11:00:00;0.0;21.3;21.5;20.5;89.0;949.5;597.4
2023-01-03;12:00:00;0.0;23.6;23.9;21.3;75.0;950.0;1531.7
2023-01-03;13:00:00;0.0;25.0;25.3;23.3;70.0;949.9;2208.2
2023-01-03;14:00:00;0.0;25.6;26.1;24.9;70.0;949.3;2461.6
2023-01-03;15:00:00;0.6;25.8;26.0;24.3;71.0;948.6;1032.9
2023-01-03;16:00:00;0.2;26.9;27.4;25.5;61.0;947.4;1834.1
2023-01-03;17:00:00;0.0;27.7;28.8;26.6;58.0;946.4;2934.8
2023-01-03;18:00:00;0.0;28.0;28.8;27.3;59.0;945.3;2329.6
2023-01-03;19:00:00;0.0;28.2;29.1;27.8;55.0;944.8;2150.7
2023-01-03;20:00:00;0.0;26.9;28.2;26.6;63.0;944.8;709.8
2023-01-03;21:00:00;0.0;26.2;27.1;26.2;68.0;945.5;183.8
2023-01-03;22:00:00;4.8;22.9;26.2;22.9;90.0;946.0;8.9
2023-01-03;23:00:00;0.0;22.1;22.9;22.1;90.0;946.2;8.9
2023-01-04;00:00:00;0.0;22.5;22.5;21.9;90.0;946.5;8.9
2023-01-04;01:00:00;0.2;22.4;23.0;22.4;91.0;947.2;8.9
2023-01-04;02:00:00;2.8;21.2;22.4;21.2;94.0;946.9;8.9
2023-01-04;03:00:00;0.0;20.5;21.5;20.5;95.0;946.4;8.9
2023-01-04;04:00:00;2.8;20.5;20.6;20.4;96.0;945.9;0.3
2023-01-04;05:00:00;0.8;20.5;20.5;20.4;96.0;945.4;0.3
2023-01-04;06:00:00;0.0;20.5;20.6;20.4;96.0;945.3;0.3
2023-01-04;07:00:00;0.0;20.5;20.7;20.5;96.0;945.7;0.5
2023-01-04;08:00:00;0.0;20.6;20.6;20.5;97.0;946.0;0.5
2023-01-04;09:00:00;0.0;20.7;20.8;20.5;97.0;946.6;25.4
2023-01-04;10:00:00;2.0;20.8;20.9;20.7;97.0;946.9;82.4
2023-01-04;11:00:00;0.0;21.0;21.2;20.8;97.0;947.0;201.6
2023-01-04;12:00:00;0.2;21.8;21.9;21.0;97.0;947.3;362.8
2023-01-04;13:00:00;0.4;22.9;23.0;21.7;96.0;947.1;907.0
2023-01-04;14:00:00;2.0;22.9;23.4;22.4;93.0;947.1;993.6
2023-01-04;15:00:00;4.2;20.4;23.3;20.4;91.0;947.2;870.7
2023-01-04;16:00:00;1.8;21.8;22.9;20.3;89.0;946.8;985.9
2023-01-04;17:00:00;0.6;20.2;21.7;20.0;92.0;946.5;1301.2
2023-01-04;18:00:00;0.0;21.2;21.3;19.8;82.0;945.9;1421.3
2023-01-04;19:00:00;0.0;21.2;21.7;21.1;81.0;945.9;746.6
2023-01-04;20:00:00;0.0;21.7;21.8;21.2;74.0;945.9;568.5
