Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;09:00:00;0.0;22.2;22.2;21.9;88.0;983.5;3.3
2023-01-01;10:00:00;0.0;24.5;24.5;22.2;80.0;983.9;307.8
2023-01-01;11:00:00;0.0;27.3;27.3;24.5;70.0;984.6;1075.4
2023-01-01;12:00:00;0.0;30.2;30.5;27.3;61.0;984.7;1943.1
2023-01-01;13:00:00;0.0;32.3;32.7;30.2;56.0;984.7;2723.2
2023-01-01;14:00:00;0.0;34.5;34.9;32.3;46.0;984.4;3044.1
2023-01-01;15:00:00;0.0;35.8;36.1;34.2;40.0;983.8;3819.9
2023-01-01;16:00:00;0.0;34.6;37.5;34.4;43.0;983.3;3386.5
2023-01-01;17:00:00;0.0;36.7;37.5;34.6;36.0;982.5;3799.4
2023-01-01;18:00:00;0.0;36.3;37.3;36.3;33.0;981.5;3519.2
2023-01-01;19:00:00;0.0;36.7;37.4;36.1;32.0;980.6;2938.5
2023-01-01;20:00:00;0.0;36.0;37.2;35.9;34.0;979.5;2236.1
2023-01-01;21:00:00;0.0;35.1;36.0;35.0;38.0;978.9;1412.4
2023-01-01;22:00:00;0.0;31.1;35.1;31.1;53.0;979.4;345.8
2023-01-01;23:00:00;0.0;29.6;31.5;29.4;57.0;979.5;30.8
2023-01-02;00:00:00;0.0;29.1;29.6;28.7;57.0;979.6;30.8
2023-01-02;01:00:00;0.0;28.6;29.3;28.3;58.0;981.1;30.8
2023-01-02;02:00:00;0.0;29.9;30.3;28.5;54.0;981.2;30.8
2023-01-02;03:00:00;0.0;28.2;30.1;28.2;63.0;981.3;30.8
2023-01-02;04:00:00;0.0;27.2;28.2;27.0;69.0;981.5;30.8
2023-01-02;05:00:00;0.0;27.2;27.2;26.7;71.0;980.4;30.8
2023-01-02;06:00:00;0.0;27.7;27.8;27.2;68.0;980.6;30.8
2023-01-02;07:00:00;0.2;23.1;27.7;23.1;85.0;981.9;30.8
2023-01-02;08:00:00;37.8;21.0;23.1;21.0;96.0;983.5;0.4
2023-01-02;09:00:00;4.6;21.0;21.1;21.0;97.0;983.3;0.4
2023-01-02;10:00:00;1.4;21.0;21.1;20.9;97.0;983.7;7.1
2023-01-02;11:00:00;0.0;21.8;21.8;21.0;97.0;984.0;110.6
2023-01-02;12:00:00;0.2;22.6;22.6;21.8;97.0;984.3;578.8
2023-01-02;13:00:00;0.0;23.9;23.9;22.5;90.0;984.2;1379.0
2023-01-02;14:00:00;0.0;25.8;26.3;23.9;76.0;984.0;2004.9
2023-01-02;15:00:00;5.0;24.7;25.8;23.1;85.0;983.5;1318.8
