Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;09:00:00;0.0;22.5;22.9;22.5;86;970.0;2.5
2023-01-01;10:00:00;0.0;24.3;24.3;22.6;80;970.7;289.2
2023-01-01;11:00:00;0.0;25.4;25.8;24.3;76;971.6;1004.1
2023-01-01;12:00:00;0.0;26.5;26.8;25.0;74;971.9;1044.9
2023-01-01;13:00:00;0.0;28.8;28.8;26.5;71;971.9;2690.3
2023-01-01;14:00:00;0.0;30.1;30.7;28.5;62;971.7;3234.1
2023-01-01;15:00:00;0.0;31.4;31.5;29.6;57;971.0;2989.0
2023-01-01;16:00:00;0.0;30.9;32.6;30.9;55;970.3;2653.3
2023-01-01;17:00:00;0.0;30.0;33.5;30.0;61;969.5;2993.2
2023-01-01;18:00:00;0.0;30.9;32.1;27.6;56;969.0;2042.5
2023-01-01;19:00:00;0.0;31.7;32.3;30.4;46;968.1;3007.2
2023-01-01;20:00:00;0.0;31.0;32.1;30.5;54;967.5;2168.7
2023-01-01;21:00:00;0.0;30.6;31.1;30.4;55;966.7;1308.3
2023-01-01;22:00:00;0.0;28.3;30.6;28.3;56;966.8;128.7
2023-01-01;23:00:00;0.0;27.1;28.3;27.1;58;967.7;9.7
2023-01-02;00:00:00;0.0;26.1;27.1;26.1;63;968.7;9.7
2023-01-02;01:00:00;0.0;25.2;26.2;25.2;71;968.9;9.7
2023-01-02;02:00:00;0.0;24.6;25.2;24.5;79;969.3;9.7
2023-01-02;03:00:00;0.0;23.9;24.6;23.8;83;969.1;9.7
2023-01-02;04:00:00;0.0;23.1;24.4;23.1;86;968.5;9.7
2023-01-02;05:00:00;0.0;23.2;23.3;22.5;86;968.4;9.7
2023-01-02;06:00:00;0.0;22.5;23.2;22.5;88;968.5;9.7
2023-01-02;07:00:00;0.0;22.9;23.6;22.4;87;968.3;9.7
2023-01-02;08:00:00;0.0;23.0;23.5;22.9;88;968.0;9.7
2023-01-02;09:00:00;0.0;23.0;23.0;22.5;88;968.7;9.7
2023-01-02;10:00:00;0.0;23.5;23.5;23.0;88;969.4;95.0
2023-01-02;11:00:00;0.0;24.1;24.1;23.5;85;969.6;221.2
2023-01-02;12:00:00;0.0;24.2;24.2;24.0;84;970.1;207.6
2023-01-02;13:00:00;0.0;23.2;24.2;22.9;77;970.7;127.7
2023-01-02;14:00:00;11.4;20.2;23.1;20.1;94;970.3;34.7
2023-01-02;15:00:00;6.0;20.3;20.4;20.2;93;971.0;41.7
2023-01-02;16:00:00;3.2;20.3;20.4;20.2;95;970.0;64.4
2023-01-02;17:00:00;1.6;20.8;20.9;20.3;95;968.8;237.7
2023-01-02;18:00:00;0.0;21.5;21.7;20.6;95;967.2;889.6
2023-01-02;19:00:00;0.0;22.9;23.1;21.4;88;966.4;1419.7
2023-01-02;20:00:00;0.0;25.4;25.4;22.9;74;966.1;1955.5
2023-01-02;21:00:00;0.2;23.8;25.7;23.7;83;966.1;794.6
2023-01-02;22:00:00;0.0;23.1;23.8;23.0;88;966.9;107.8
2023-01-02;23:00:00;0.0;22.2;23.1;22.2;91;967.1;1.6
2023-01-03;00:00:00;0.0;22.0;22.5;22.0;91;967.4;1.6
2023-01-03;01:00:00;0.0;21.7;22.1;21.5;94;968.2;1.6
2023-01-03;02:00:00;0.0;21.6;21.7;21.6;94;967.8;1.6
2023-01-03;03:00:00;0.0;21.5;21.7;21.5;94;967.0;1.6
2023-01-03;04:00:00;0.0;21.3;21.5;21.2;95;966.5;1.6
2023-01-03;05:00:00;0.0;21.3;21.3;21.0;95;965.7;1.6
2023-01-03;06:00:00;0.0;21.0;21.3;21.0;95;966.0;1.6
2023-01-03;07:00:00;0.0;20.9;21.1;20.9;96;966.0;1.6
2023-01-03;08:00:00;0.0;20.8;20.9;20.6;96;967.0;1.6
2023-01-03;09:00:00;0.0;21.0;21.0;20.8;96;967.7;1.3
2023-01-03;10:00:00;0.0;21.3;21.3;21.0;96;968.1;107.7
2023-01-03;11:00:00;0.0;21.8;21.8;21.2;96;968.6;336.6
2023-01-03;12:00:00;0.2;22.2;22.4;21.5;95;969.0;518.2
2023-01-03;13:00:00;0.4;22.9;23.1;21.9;86;969.3;706.8
2023-01-03;14:00:00;0.0;24.5;24.7;22.9;80;969.4;1166.6
2023-01-03;15:00:00;0.0;25.5;26.0;24.0;78;968.6;1866.1
2023-01-03;16:00:00;0.0;27.8;28.0;25.5;71;967.1;2761.1
2023-01-03;17:00:00;0.0;28.4;29.3;27.3;68;965.8;2828.0
2023-01-03;18:00:00;0.0;28.7;29.2;28.3;67;964.8;2441.7
2023-01-03;19:00:00;0.0;28.1;28.7;27.8;67;963.9;1532.0
2023-01-03;20:00:00;0.0;28.3;29.8;28.1;65;963.8;1822.6
2023-01-03;21:00:00;0.0;27.5;28.6;27.5;71;964.0;646.6
2023-01-03;22:00:00;0.0;25.2;27.5;25.2;79;964.6;112.7
