Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;09:00:00;0.0;17.4;17.7;17.2;99.0;894.3;19.3
2023-01-01;10:00:00;0.0;19.9;19.9;17.5;90.0;894.8;454.5
2023-01-01;11:00:00;0.0;21.4;21.5;19.9;85.0;895.1;1292.1
2023-01-01;12:00:00;0.0;21.7;22.9;21.1;82.0;895.4;2166.7
2023-01-01;13:00:00;0.0;22.5;23.8;21.2;82.0;895.4;2697.9
2023-01-01;14:00:00;0.0;22.5;24.5;22.0;82.0;895.6;3170.3
2023-01-01;15:00:00;0.0;22.8;24.5;22.2;81.0;895.4;2896.6
2023-01-01;16:00:00;0.0;24.4;25.1;22.8;73.0;894.4;3954.0
2023-01-01;17:00:00;0.0;24.6;25.6;24.2;73.0;893.8;3411.9
2023-01-01;18:00:00;0.0;25.8;26.9;24.2;70.0;893.2;2478.1
2023-01-01;19:00:00;0.0;26.1;26.7;25.2;68.0;892.5;1939.9
2023-01-01;20:00:00;0.0;25.1;27.1;25.0;71.0;891.9;1844.5
2023-01-01;21:00:00;0.0;24.0;25.2;24.0;79.0;891.8;597.8
2023-01-01;22:00:00;0.0;22.4;24.0;22.4;87.0;892.0;245.4
2023-01-01;23:00:00;0.0;21.4;22.4;21.3;91.0;892.6;2.6
2023-01-02;00:00:00;0.0;21.2;21.6;21.2;87.0;893.0;2.6
2023-01-02;01:00:00;0.0;20.5;21.3;20.5;94.0;893.1;2.6
2023-01-02;02:00:00;0.0;19.8;20.5;19.8;96.0;893.2;2.6
2023-01-02;03:00:00;0.0;19.2;19.8;19.2;98.0;893.3;2.6
2023-01-02;04:00:00;0.0;18.8;19.3;18.7;99.0;893.2;2.6
2023-01-02;05:00:00;0.0;18.2;18.8;18.2;100.0;892.4;2.6
2023-01-02;06:00:00;0.0;18.0;18.3;18.0;100.0;892.1;2.6
2023-01-02;07:00:00;0.0;17.7;18.0;17.7;100.0;892.1;2.6
2023-01-02;08:00:00;0.0;17.4;17.7;17.4;100.0;892.1;2.6
2023-01-02;09:00:00;0.0;17.2;17.4;17.1;100.0;892.7;22.0
2023-01-02;10:00:00;0.0;18.1;18.2;17.1;100.0;893.1;398.6
2023-01-02;11:00:00;0.0;19.6;19.6;18.1;94.0;893.6;850.3
2023-01-02;12:00:00;0.0;19.9;20.0;19.6;92.0;893.3;1168.5
2023-01-02;13:00:00;0.0;21.6;21.6;19.9;88.0;893.1;1802.9
2023-01-02;14:00:00;0.0;22.6;22.6;20.7;91.0;892.8;2350.4
2023-01-02;15:00:00;0.0;22.9;23.4;22.1;84.0;891.9;2620.2
2023-01-02;16:00:00;0.0;23.5;24.5;22.8;82.0;891.5;2758.9
2023-01-02;17:00:00;0.0;23.6;24.6;23.1;83.0;890.6;1933.8
2023-01-02;18:00:00;0.0;24.0;24.0;23.4;81.0;889.7;1284.6
2023-01-02;19:00:00;1.8;19.0;24.4;18.9;95.0;889.5;655.5
2023-01-02;20:00:00;0.0;19.5;19.6;18.7;95.0;888.7;697.4
2023-01-02;21:00:00;0.0;19.5;20.3;19.4;95.0;889.0;687.1
2023-01-02;22:00:00;0.0;20.2;20.2;19.3;89.0;889.4;132.4
2023-01-02;23:00:00;0.0;20.0;20.4;19.2;88.0;889.5;0.2
2023-01-03;00:00:00;0.0;18.8;20.3;18.8;97.0;890.1;0.2
2023-01-03;01:00:00;0.0;18.2;19.1;18.1;100.0;890.4;0.2
2023-01-03;02:00:00;0.0;18.2;18.4;18.2;100.0;890.4;0.2
2023-01-03;03:00:00;0.0;18.9;18.9;18.2;100.0;889.7;0.2
2023-01-03;04:00:00;0.0;19.5;19.6;18.7;88.0;889.2;0.2
2023-01-03;05:00:00;0.0;18.5;19.5;18.4;97.0;888.3;0.2
2023-01-03;06:00:00;0.0;18.0;18.5;18.0;100.0;887.7;0.2
2023-01-03;07:00:00;0.0;18.6;18.6;17.8;99.0;888.1;0.2
2023-01-03;08:00:00;0.0;18.5;18.6;18.3;100.0;888.7;0.2
2023-01-03;09:00:00;0.0;17.8;18.5;17.8;100.0;889.5;5.1
2023-01-03;10:00:00;0.0;17.9;18.0;17.7;100.0;890.1;62.1
2023-01-03;11:00:00;0.0;18.1;18.1;17.8;100.0;890.5;214.5
2023-01-03;12:00:00;0.0;18.5;18.6;18.0;100.0;891.0;486.2
2023-01-03;13:00:00;0.8;19.3;19.3;18.4;100.0;891.4;514.1
2023-01-03;14:00:00;0.0;20.7;20.9;19.3;89.0;891.4;2008.0
2023-01-03;15:00:00;0.0;22.4;22.5;20.4;81.0;890.9;1681.7
2023-01-03;16:00:00;0.0;23.2;24.1;22.1;75.0;890.2;3124.9
2023-01-03;17:00:00;0.0;23.5;24.5;22.9;77.0;889.1;2931.4
2023-01-03;18:00:00;0.0;25.5;25.5;23.3;71.0;888.0;3117.4
2023-01-03;19:00:00;0.0;25.0;25.6;24.5;68.0;887.5;2814.6
2023-01-03;20:00:00;0.0;24.9;25.7;24.6;70.0;887.4;2085.7
2023-01-03;21:00:00;0.0;24.3;25.3;23.8;74.0;887.7;790.8
2023-01-03;22:00:00;0.0;22.6;24.5;22.6;82.0;888.5;165.6
2023-01-03;23:00:00;0.0;21.7;22.6;21.7;87.0;889.2;1.5
2023-01-04;00:00:00;0.0;21.1;21.7;21.1;89.0;889.2;1.5
2023-01-04;01:00:00;0.0;20.4;21.1;20.4;91.0;889.4;1.5
2023-01-04;02:00:00;0.0;20.2;20.5;20.1;93.0;889.9;1.5
2023-01-04;03:00:00;0.0;20.5;20.6;20.1;91.0;889.4;1.5
2023-01-04;04:00:00;0.0;19.3;20.6;19.3;96.0;888.3;1.5
2023-01-04;05:00:00;0.2;18.8;19.3;18.8;98.0;887.7;1.5
2023-01-04;06:00:00;14.4;18.5;18.8;18.5;100.0;887.5;1.5
2023-01-04;07:00:00;0.8;18.3;18.5;18.2;100.0;887.6;1.5
2023-01-04;08:00:00;0.2;17.7;18.3;17.6;100.0;887.6;1.5
2023-01-04;09:00:00;2.6;17.7;17.7;17.6;100.0;888.2;2.5
2023-01-04;10:00:00;0.2;18.0;18.0;17.7;100.0;888.6;54.7
2023-01-04;11:00:00;1.0;17.9;18.2;17.8;100.0;889.0;150.7
2023-01-04;12:00:00;3.0;18.2;18.3;17.8;100.0;889.0;267.5
2023-01-04;13:00:00;2.8;18.5;18.6;18.2;100.0;889.3;449.0
2023-01-04;14:00:00;5.0;18.3;18.6;18.2;100.0;889.2;308.6
2023-01-04;15:00:00;1.8;17.0;18.7;17.0;100.0;889.0;504.2
2023-01-04;16:00:00;0.8;17.1;17.1;15.7;100.0;888.7;675.0
2023-01-04;17:00:00;0.0;16.9;17.4;16.7;100.0;888.3;1108.2
2023-01-04;18:00:00;1.4;16.5;17.0;16.5;100.0;888.2;455.5
2023-01-04;19:00:00;0.6;15.7;16.5;15.7;100.0;888.2;514.0
2023-01-04;20:00:00;0.4;14.2;15.8;14.1;100.0;888.3;428.6
2023-01-04;21:00:00;0.0;13.8;14.2;13.8;100.0;888.4;257.7
2023-01-04;22:00:00;0.2;13.4;13.9;13.4;100.0;889.0;99.4
2023-01-04;23:00:00;0.2;13.8;13.8;13.4;100.0;889.8;7.5
2023-01-05;00:00:00;0.0;14.3;14.3;13.8;99.0;890.2;0.5
2023-01-05;01:00:00;0.0;14.1;14.4;14.1;99.0;891.1;1.0
2023-01-05;02:00:00;0.0;13.9;14.1;13.8;98.0;891.3;1.0
2023-01-05;03:00:00;0.0;13.9;13.9;13.8;98.0;891.1;0.4
2023-01-05;04:00:00;0.0;13.9;14.1;13.9;98.0;890.8;0.4
