Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;09:00:00;0.0;21.3;21.3;21.2;100.0;1007.9;33.8
2023-01-01;10:00:00;0.0;23.3;23.3;21.3;86.0;1008.3;436.3
2023-01-01;11:00:00;0.0;25.1;25.5;23.3;78.0;1008.7;1403.6
2023-01-01;12:00:00;0.0;27.3;27.3;25.0;71.0;1008.9;2255.3
2023-01-01;13:00:00;0.0;28.8;29.0;26.8;65.0;1008.7;2977.9
2023-01-01;14:00:00;0.0;29.6;29.6;27.8;63.0;1008.3;2264.8
2023-01-01;15:00:00;0.0;29.7;30.8;28.6;61.0;1007.6;2927.4
2023-01-01;16:00:00;0.0;29.7;30.8;28.6;61.0;1007.6;2927.4
2023-01-01;17:00:00;0.0;28.8;31.0;28.8;65.0;1006.1;2715.1
2023-01-01;18:00:00;0.0;29.3;30.1;28.4;68.0;1005.6;1704.9
2023-01-01;19:00:00;0.0;28.5;30.2;28.5;68.0;1004.9;1938.9
2023-01-01;20:00:00;0.0;28.2;28.9;27.9;69.0;1004.9;1412.9
2023-01-01;21:00:00;0.0;26.3;28.2;26.3;75.0;1005.9;228.1
2023-01-01;22:00:00;0.0;25.4;26.3;25.4;78.0;1005.9;97.1
2023-01-01;23:00:00;0.0;24.5;25.6;24.5;82.0;1006.9;97.1
2023-01-02;00:00:00;0.0;24.9;25.0;24.4;82.0;1007.4;97.1
2023-01-02;01:00:00;0.0;24.6;24.9;24.6;85.0;1007.1;97.1
2023-01-02;02:00:00;0.0;23.8;24.7;23.8;90.0;1007.3;97.1
2023-01-02;03:00:00;0.0;23.1;23.9;23.1;90.0;1007.1;97.1
2023-01-02;04:00:00;0.0;22.4;23.1;22.3;90.0;1006.7;97.1
2023-01-02;05:00:00;0.0;21.8;22.5;21.8;90.0;1005.6;97.1
2023-01-02;06:00:00;0.0;21.5;21.8;21.5;90.0;1005.3;97.1
2023-01-02;07:00:00;0.0;21.2;21.5;21.1;90.0;1005.4;97.1
2023-01-02;08:00:00;0.0;20.9;21.3;20.9;90.0;1005.4;97.1
