Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;09:00:00;0.0;16.6;16.9;16.0;85;928.0;16.9
2023-01-01;10:00:00;0.0;18.5;18.5;16.6;85;928.6;193.1
2023-01-01;11:00:00;0.0;20.3;20.3;18.5;77;928.9;728.8
2023-01-01;12:00:00;0.0;22.6;23.1;20.3;67;929.0;1879.8
2023-01-01;13:00:00;0.0;25.1;25.5;22.3;54;928.7;2427.3
2023-01-01;14:00:00;0.0;26.4;27.1;24.7;50;928.2;2841.2
2023-01-01;15:00:00;0.0;26.3;27.2;25.3;52;927.4;2171.3
2023-01-01;16:00:00;0.0;28.4;28.7;26.2;45;926.9;2525.1
2023-01-01;17:00:00;0.0;29.8;30.5;28.4;35;925.8;3459.6
2023-01-01;18:00:00;0.0;30.7;30.9;28.1;35;925.0;2222.2
2023-01-01;19:00:00;0.0;30.7;31.0;29.4;33;924.1;2125.3
2023-01-01;20:00:00;0.0;30.2;31.4;30.1;33;923.9;2329.2
2023-01-01;21:00:00;0.0;28.2;30.9;28.1;42;923.9;1026.7
2023-01-01;22:00:00;0.0;23.8;28.2;23.8;63;924.1;117.5
2023-01-01;23:00:00;0.0;24.3;25.5;23.4;58;925.3;1.9
2023-01-02;00:00:00;0.0;22.0;24.3;22.0;68;925.9;1.9
2023-01-02;01:00:00;0.0;20.1;22.0;20.1;69;926.3;1.9
2023-01-02;02:00:00;0.0;19.5;20.0;19.4;73;926.9;1.9
2023-01-02;03:00:00;0.0;19.1;19.6;19.1;75;926.9;1.9
2023-01-02;04:00:00;0.0;18.5;19.1;18.0;80;926.5;1.9
2023-01-02;05:00:00;0.0;18.9;18.9;18.4;80;925.7;1.9
2023-01-02;06:00:00;0.0;19.3;19.3;18.9;78;925.4;1.9
2023-01-02;07:00:00;0.0;19.3;19.4;19.2;80;925.3;1.9
2023-01-02;08:00:00;0.0;19.4;19.4;19.3;80;925.5;1.9
2023-01-02;09:00:00;0.0;19.5;19.5;19.4;79;925.9;12.7
2023-01-02;10:00:00;0.0;20.1;20.1;19.5;77;926.5;158.6
2023-01-02;11:00:00;0.0;21.1;21.1;20.1;75;926.1;438.2
2023-01-02;12:00:00;0.0;21.5;21.9;21.1;71;926.2;624.5
2023-01-02;13:00:00;0.0;22.6;22.6;21.1;70;925.9;539.5
2023-01-02;14:00:00;0.0;22.9;23.4;22.4;67;925.5;957.1
2023-01-02;15:00:00;0.0;23.6;23.7;22.4;64;924.7;978.2
2023-01-02;16:00:00;0.0;25.6;25.6;23.5;60;923.9;1717.1
2023-01-02;17:00:00;2.4;18.8;25.6;18.8;82;923.7;674.3
2023-01-02;18:00:00;0.4;19.9;20.0;18.8;80;922.9;461.6
2023-01-02;19:00:00;0.0;21.7;21.7;19.9;74;922.1;738.8
2023-01-02;20:00:00;0.0;22.9;23.2;21.7;69;921.0;988.9
