Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;09:00:00;0.0;18.4;18.4;18.0;95.0;903.5;6.1
2023-01-01;10:00:00;0.0;18.9;18.9;18.4;94.0;904.0;109.1
2023-01-01;11:00:00;0.0;19.7;19.7;18.9;91.0;904.3;321.1
2023-01-01;12:00:00;0.0;21.0;21.0;19.7;86.0;904.6;624.8
2023-01-01;13:00:00;0.0;23.8;24.1;21.0;75.0;904.4;1937.3
2023-01-01;14:00:00;0.0;26.0;26.3;23.4;67.0;903.6;3581.2
2023-01-01;15:00:00;0.0;27.3;27.4;25.0;64.0;903.5;3002.1
2023-01-01;16:00:00;0.0;28.1;29.2;27.1;53.0;902.7;3576.1
2023-01-01;17:00:00;0.0;29.6;30.7;26.8;45.0;901.6;3203.4
2023-01-01;18:00:00;0.0;29.8;31.3;28.5;45.0;900.5;3256.3
2023-01-01;19:00:00;0.0;26.4;31.2;26.4;63.0;900.1;1613.0
2023-01-01;20:00:00;0.0;24.0;26.4;24.0;80.0;900.1;347.7
2023-01-01;21:00:00;0.0;23.0;24.8;23.0;84.0;899.9;73.0
2023-01-01;22:00:00;0.0;23.1;24.4;23.0;83.0;900.2;374.3
2023-01-01;23:00:00;0.0;19.1;23.1;19.1;94.0;900.8;17.7
2023-01-02;00:00:00;0.0;18.1;19.1;18.1;96.0;900.9;17.7
2023-01-02;01:00:00;0.0;17.5;18.1;17.5;97.0;901.8;17.7
2023-01-02;02:00:00;0.0;17.3;17.7;17.1;97.0;902.5;17.7
2023-01-02;03:00:00;0.0;16.7;17.3;16.6;97.0;902.5;17.7
2023-01-02;04:00:00;0.0;16.5;17.1;16.4;97.0;901.7;17.7
2023-01-02;05:00:00;0.0;18.1;18.4;16.3;97.0;901.3;17.7
2023-01-02;06:00:00;0.0;18.7;18.7;18.0;96.0;900.9;17.7
2023-01-02;07:00:00;0.0;19.0;19.1;18.7;95.0;900.5;17.7
2023-01-02;08:00:00;0.0;18.9;19.0;18.9;95.0;901.0;0.5
2023-01-02;09:00:00;0.0;19.0;19.0;18.9;95.0;901.3;4.2
2023-01-02;10:00:00;0.0;18.9;19.0;18.9;95.0;901.8;35.8
2023-01-02;11:00:00;0.2;19.4;19.4;18.9;95.0;901.2;177.1
2023-01-02;12:00:00;0.0;19.3;19.9;19.3;92.0;901.7;307.6
2023-01-02;13:00:00;0.0;21.0;21.3;19.3;84.0;900.9;760.6
2023-01-02;14:00:00;0.0;21.6;21.9;21.0;80.0;901.1;822.1
2023-01-02;15:00:00;0.0;22.1;22.3;21.5;79.0;900.9;971.8
2023-01-02;16:00:00;0.0;23.4;23.4;21.8;75.0;900.3;1069.9
2023-01-02;17:00:00;0.0;23.8;25.3;23.0;68.0;899.0;2343.6
2023-01-02;18:00:00;0.0;22.9;24.0;22.2;73.0;898.4;1180.9
2023-01-02;19:00:00;0.0;23.8;24.2;22.8;68.0;897.6;1372.6
2023-01-02;20:00:00;0.0;25.5;25.9;23.8;61.0;896.6;1895.1
2023-01-02;21:00:00;0.0;22.2;26.3;22.0;81.0;896.9;722.7
2023-01-02;22:00:00;0.0;20.6;22.2;20.6;89.0;897.0;177.3
2023-01-02;23:00:00;0.0;19.6;20.6;19.6;93.0;897.5;19.7
2023-01-03;00:00:00;0.0;19.3;19.8;19.3;95.0;898.0;19.7
2023-01-03;01:00:00;0.0;19.0;19.5;19.0;96.0;898.5;19.7
2023-01-03;02:00:00;0.0;18.6;19.1;18.5;97.0;898.4;19.7
2023-01-03;03:00:00;0.0;17.9;18.7;17.9;97.0;898.0;19.7
2023-01-03;04:00:00;0.0;17.1;17.9;17.0;97.0;897.5;19.7
2023-01-03;05:00:00;0.0;16.7;17.2;16.6;98.0;896.8;19.7
2023-01-03;06:00:00;0.0;15.9;16.9;15.9;98.0;896.3;19.7
2023-01-03;07:00:00;0.0;15.7;16.1;15.0;98.0;896.5;19.7
2023-01-03;08:00:00;0.0;15.4;15.9;15.4;98.0;897.0;19.7
2023-01-03;09:00:00;0.0;16.4;16.4;15.3;98.0;897.4;16.7
2023-01-03;10:00:00;0.0;18.5;18.5;16.4;98.0;897.8;249.9
2023-01-03;11:00:00;0.0;20.8;20.8;18.3;97.0;898.4;869.9
2023-01-03;12:00:00;0.0;22.3;22.3;20.8;84.0;898.9;941.4
2023-01-03;13:00:00;0.0;25.6;26.1;22.1;69.0;898.6;2227.0
2023-01-03;14:00:00;0.0;26.5;27.1;24.8;64.0;898.1;2938.1
2023-01-03;15:00:00;0.0;29.1;29.9;25.5;55.0;897.4;3762.1
2023-01-03;16:00:00;0.0;26.6;29.8;26.2;58.0;896.3;3108.9
2023-01-03;17:00:00;0.0;30.5;30.8;26.4;50.0;895.2;3446.4
2023-01-03;18:00:00;0.0;28.9;30.7;27.6;59.0;894.6;2210.4
