Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;10:00:00;0.0;22.6;22.7;20.9;93.0;945.3;421.4
2023-01-01;11:00:00;0.0;25.0;25.0;22.6;84.0;946.0;1233.6
2023-01-01;12:00:00;0.0;25.7;25.8;24.8;82.0;946.4;1831.8
2023-01-01;13:00:00;0.0;27.9;28.2;25.7;74.0;946.6;2771.6
2023-01-01;14:00:00;0.0;30.3;31.0;27.2;70.0;946.4;2354.6
2023-01-01;15:00:00;0.0;29.7;31.9;28.0;71.0;945.9;3204.9
2023-01-01;16:00:00;0.0;32.2;32.9;29.7;63.0;945.2;3624.9
2023-01-01;17:00:00;0.0;32.9;32.9;28.9;62.0;944.3;2710.8
2023-01-01;18:00:00;0.0;32.0;33.4;31.2;61.0;943.4;3109.4
2023-01-01;19:00:00;0.0;32.4;32.9;30.7;57.0;942.7;2706.2
2023-01-01;20:00:00;0.0;32.6;33.4;31.8;55.0;941.7;2121.6
2023-01-01;21:00:00;0.0;30.5;32.9;30.4;60.0;941.3;1242.9
2023-01-01;22:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
2023-01-01;23:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
2023-01-02;00:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
2023-01-02;01:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
2023-01-02;02:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
2023-01-02;03:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
2023-01-02;04:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
2023-01-02;05:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
2023-01-02;06:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
2023-01-02;07:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
2023-01-02;08:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
2023-01-02;09:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
2023-01-02;10:00:00;0.0;28.5;31.3;28.5;70.0;941.4;417.5
