Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;09:00:00;0.0;16.6;17.2;16.3;100.0;921.1;9.6
2023-01-01;10:00:00;0.0;20.8;20.8;16.6;91.0;921.5;439.2
2023-01-01;11:00:00;0.0;23.2;23.2;20.8;82.0;922.0;1321.5
2023-01-01;12:00:00;0.0;25.3;25.5;23.2;73.0;922.2;2197.8
2023-01-01;13:00:00;0.0;26.0;27.1;25.2;68.0;922.3;2482.0
2023-01-01;14:00:00;0.0;27.6;28.3;25.9;62.0;922.0;3407.2
2023-01-01;15:00:00;0.0;28.8;29.0;27.5;61.0;921.4;3967.6
2023-01-01;16:00:00;0.0;29.3;30.1;28.0;57.0;920.9;3789.6
2023-01-01;17:00:00;0.0;29.7;30.2;28.5;52.0;920.2;3128.6
2023-01-01;18:00:00;0.0;30.1;31.4;28.8;46.0;919.4;3253.5
2023-01-01;19:00:00;0.0;31.2;31.2;30.0;48.0;918.6;2821.8
2023-01-01;20:00:00;0.0;30.2;31.2;29.5;48.0;917.7;2005.2
2023-01-01;21:00:00;0.0;29.0;30.7;28.9;54.0;917.4;885.5
2023-01-01;22:00:00;0.0;25.5;29.1;25.5;70.0;917.8;110.7
2023-01-01;23:00:00;0.0;22.6;25.5;22.5;83.0;918.5;4.8
2023-01-02;00:00:00;0.0;21.6;22.6;21.4;85.0;918.4;4.8
2023-01-02;01:00:00;0.0;21.2;21.6;20.6;87.0;918.9;4.8
2023-01-02;02:00:00;0.0;20.5;21.4;20.2;91.0;919.8;4.8
2023-01-02;03:00:00;0.0;19.6;20.5;19.3;96.0;919.6;4.8
2023-01-02;04:00:00;0.0;19.6;19.7;19.0;96.0;919.1;4.8
2023-01-02;05:00:00;0.0;21.1;21.1;18.9;91.0;918.7;4.8
2023-01-02;06:00:00;0.0;21.5;22.6;20.7;87.0;918.5;4.8
2023-01-02;07:00:00;0.0;21.7;21.8;20.4;86.0;917.8;4.8
2023-01-02;08:00:00;0.0;21.3;21.9;20.5;89.0;918.4;4.8
2023-01-02;09:00:00;0.0;22.2;22.2;21.4;88.0;918.9;4.8
2023-01-02;10:00:00;0.0;22.1;22.7;22.1;88.0;919.6;14.5
2023-01-02;11:00:00;2.4;18.4;22.4;18.4;98.0;920.9;25.8
2023-01-02;12:00:00;6.0;18.5;18.5;18.4;99.0;920.6;47.4
2023-01-02;13:00:00;5.8;18.4;18.5;18.4;100.0;920.6;89.6
2023-01-02;14:00:00;4.0;18.9;18.9;18.4;98.0;920.6;255.7
