Data;Hora;PRECIPITAÇÃO TOTAL;TEMPERATURA DO AR BULBO SECO (°C);TEMP MAX (°C);TEMP MÍN (°C);UMIDADE RELATIVA DO AR (%);PRESSAO ATMOSFERICA;RADIACAO GLOBAL (Kj/m²)
2023-01-01;09:00:00;0.0;19.6;19.6;18.7;95.0;960.4;33.9
2023-01-01;10:00:00;0.0;22.0;22.0;19.6;85.0;960.8;475.2
2023-01-01;11:00:00;0.0;22.9;23.4;21.7;76.0;961.4;1339.2
2023-01-01;12:00:00;0.0;24.7;24.7;22.9;70.0;961.3;1228.5
2023-01-01;13:00:00;0.0;24.9;26.4;24.4;65.0;961.2;3096.4
2023-01-01;14:00:00;0.0;26.2;26.7;24.6;60.0;960.6;2496.0
2023-01-01;15:00:00;0.0;27.5;27.6;25.8;57.0;959.8;3365.4
2023-01-01;16:00:00;0.0;28.4;29.4;27.4;55.0;959.1;3965.2
2023-01-01;17:00:00;0.0;28.8;29.9;28.4;53.0;958.1;3445.2
2023-01-01;18:00:00;0.0;30.5;30.5;28.9;50.0;957.3;3385.1
2023-01-01;19:00:00;0.0;30.9;30.9;30.1;51.0;956.9;3182.4
2023-01-01;20:00:00;0.0;27.5;30.9;27.5;64.0;956.6;1343.3
2023-01-01;21:00:00;0.0;25.7;27.5;25.7;70.0;957.2;412.9
2023-01-01;22:00:00;0.0;24.6;25.7;24.5;73.0;957.2;358.5
2023-01-01;23:00:00;0.0;23.6;24.6;23.4;78.0;958.0;8.0
2023-01-02;00:00:00;0.0;22.5;23.6;22.3;81.0;958.6;8.0
2023-01-02;01:00:00;0.0;22.0;22.5;22.0;80.0;959.6;8.0
2023-01-02;02:00:00;0.0;22.0;22.3;21.8;82.0;960.3;8.0
2023-01-02;03:00:00;0.0;20.9;22.0;20.8;88.0;960.1;8.0
2023-01-02;04:00:00;0.0;19.8;21.0;19.8;92.0;959.2;8.0
2023-01-02;05:00:00;0.0;19.3;19.8;19.3;94.0;958.5;8.0
2023-01-02;06:00:00;0.0;19.2;19.7;19.0;96.0;957.9;8.0
2023-01-02;07:00:00;0.0;19.1;19.4;19.0;96.0;957.8;8.0
2023-01-02;08:00:00;0.0;19.4;19.5;19.1;96.0;957.7;8.0
2023-01-02;09:00:00;0.0;20.0;20.0;19.4;96.0;958.0;31.7
2023-01-02;10:00:00;0.0;20.5;20.5;20.0;93.0;958.5;118.9
2023-01-02;11:00:00;0.0;21.6;21.6;20.5;89.0;958.6;329.7
2023-01-02;12:00:00;0.0;22.6;22.7;21.5;86.0;958.2;755.2
2023-01-02;13:00:00;0.0;23.3;23.6;22.5;81.0;957.6;1108.9
2023-01-02;14:00:00;0.0;25.0;25.0;23.3;73.0;957.0;1752.5
2023-01-02;15:00:00;0.0;24.7;25.9;24.7;71.0;956.8;1592.5
2023-01-02;16:00:00;0.0;24.9;26.0;24.5;72.0;956.1;949.9
2023-01-02;17:00:00;0.0;25.7;26.3;24.7;68.0;954.7;1523.9
2023-01-02;18:00:00;0.0;27.4;27.7;25.6;64.0;953.6;2623.6
2023-01-02;19:00:00;0.0;26.5;28.0;26.4;70.0;952.8;2012.4
2023-01-02;20:00:00;0.0;27.0;28.1;26.4;66.0;952.3;1161.0
2023-01-02;21:00:00;0.0;26.4;27.1;26.3;71.0;952.0;374.9
2023-01-02;22:00:00;0.0;24.5;26.4;24.2;82.0;952.1;293.5
2023-01-02;23:00:00;0.0;22.1;24.5;21.9;91.0;952.5;6.5
2023-01-03;00:00:00;0.0;21.6;22.5;21.5;92.0;953.0;6.5
2023-01-03;01:00:00;0.0;21.7;21.7;21.0;94.0;953.9;6.5
2023-01-03;02:00:00;0.0;21.5;21.7;21.2;95.0;953.6;6.5
2023-01-03;03:00:00;0.0;21.3;21.7;21.3;95.0;953.3;6.5
2023-01-03;04:00:00;0.0;21.5;21.7;21.2;95.0;952.8;6.5
