Data;Hora;PRECIPITAÇÃO TOTAL;PRESSAO ATMOSFERICA;PRESSÃO ATMOSFERICA MAX (mB);PRESSÃO ATMOSFERICA MIN (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR BULBO SECO (°C);TEMP PONTO DE ORVALHO (°C);TEMP MAX (°C);TEMP MÍN (°C);TEMP ORVALHO MAX (°C);TEMP ORVALHO MIN (°C);UMIDADE REL. MAX (%);UMIDADE REL. MIN (%);UMIDADE RELATIVA DO AR (%);VENTO DIREÇÃO (gr)°;VENTO RAJADA (m/s);VENTO VELOCIDADE (m/s);Unnamed: 19
2023-01-01;00:00:00;0.0;954.6;954.6;953.6;;25.4;20.0;26.4;25.4;20.0;19.6;72.0;66.0;72.0;221.0;6.3;3.6;
2023-01-01;01:00:00;0.0;955.3;955.3;954.6;;24.7;20.1;25.8;24.6;20.2;19.9;76.0;71.0;76.0;238.0;6.7;3.1;
2023-01-01;02:00:00;0.0;955.7;955.8;955.3;;24.0;20.3;24.8;24.0;20.3;20.0;80.0;75.0;80.0;215.0;9.5;4.9;
2023-01-01;03:00:00;0.0;955.2;955.8;955.1;;23.4;20.1;24.1;23.4;20.6;20.1;82.0;80.0;82.0;220.0;8.6;5.1;
2023-01-01;04:00:00;0.0;955.2;955.3;955.1;;22.5;19.5;23.4;22.5;20.1;19.5;83.0;82.0;83.0;218.0;8.8;3.7;
2023-01-01;05:00:00;0.0;955.2;955.3;955.1;;22.5;19.5;23.4;22.5;20.1;19.5;83.0;82.0;83.0;218.0;8.8;3.7;
2023-01-01;06:00:00;0.0;955.2;955.3;955.1;;22.5;19.5;23.4;22.5;20.1;19.5;83.0;82.0;83.0;218.0;8.8;3.7;
2023-01-01;07:00:00;0.0;955.2;955.3;955.1;;22.5;19.5;23.4;22.5;20.1;19.5;83.0;82.0;83.0;218.0;8.8;3.7;
2023-01-01;08:00:00;0.0;955.2;955.3;955.1;;22.5;19.5;23.4;22.5;20.1;19.5;83.0;82.0;83.0;218.0;8.8;3.7;
2023-01-01;09:00:00;0.0;955.2;955.3;955.1;;22.5;19.5;23.4;22.5;20.1;19.5;83.0;82.0;83.0;218.0;8.8;3.7;
2023-01-01;10:00:00;0.0;955.2;955.3;955.1;;22.5;19.5;23.4;22.5;20.1;19.5;83.0;82.0;83.0;218.0;8.8;3.7;
2023-01-01;11:00:00;0.0;956.5;956.6;956.1;1176.7;23.6;19.3;24.1;22.5;19.9;19.2;82.0;76.0;77.0;217.0;8.8;5.0;
2023-01-01;12:00:00;0.0;956.7;956.8;956.5;2107.1;25.4;20.3;25.7;23.6;20.7;19.4;78.0;73.0;73.0;215.0;8.2;3.6;
2023-01-01;13:00:00;0.0;956.7;956.9;956.7;2563.4;26.9;19.7;27.1;25.1;21.1;19.7;75.0;64.0;65.0;235.0;5.7;1.0;
2023-01-01;14:00:00;0.0;956.5;956.7;956.5;1562.9;27.3;19.9;27.7;26.3;21.1;19.4;70.0;63.0;64.0;214.0;4.1;0.7;
2023-01-01;15:00:00;0.0;955.9;956.5;955.9;2981.3;29.1;20.3;29.3;27.2;21.7;19.2;65.0;57.0;59.0;210.0;5.0;2.2;
2023-01-01;16:00:00;0.0;954.9;955.9;954.9;3629.6;29.4;19.6;30.7;28.3;21.1;18.7;61.0;51.0;56.0;213.0;5.0;2.0;
2023-01-01;17:00:00;0.0;953.7;954.9;953.7;3849.1;30.9;19.8;31.6;29.4;21.8;18.8;60.0;48.0;52.0;212.0;3.9;1.5;
2023-01-01;18:00:00;0.0;953.2;953.7;953.2;2968.9;32.0;20.4;32.0;30.5;21.4;18.3;55.0;46.0;51.0;213.0;4.5;1.3;
2023-01-01;19:00:00;0.0;952.4;953.2;952.4;3074.6;31.9;20.2;32.4;31.3;21.1;18.7;53.0;46.0;50.0;219.0;3.3;1.0;
2023-01-01;20:00:00;0.0;951.6;952.4;951.6;2041.2;31.7;18.7;32.3;31.3;20.6;18.2;51.0;45.0;46.0;221.0;4.4;1.1;
2023-01-01;21:00:00;0.0;951.5;951.7;951.4;1071.6;31.0;19.7;32.1;31.0;19.9;17.6;51.0;44.0;51.0;231.0;2.7;0.4;
2023-01-01;22:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-01;23:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-02;00:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-02;01:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-02;02:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-02;03:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-02;04:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-02;05:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-02;06:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-02;07:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-02;08:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-02;09:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-02;10:00:00;0.0;952.3;952.3;951.5;378.2;29.0;20.7;31.0;29.0;20.7;17.7;61.0;45.0;61.0;237.0;5.4;2.4;
2023-01-02;11:00:00;0.0;955.0;955.0;954.5;1205.8;24.1;19.2;24.2;22.9;19.6;18.6;78.0;74.0;74.0;229.0;7.2;2.4;
2023-01-02;12:00:00;0.0;955.0;955.1;954.8;1531.9;25.2;20.3;25.2;23.8;20.3;19.0;76.0;72.0;74.0;217.0;6.3;2.6;
2023-01-02;13:00:00;0.0;954.3;955.0;954.3;1818.8;26.0;20.2;26.2;25.0;21.0;19.6;75.0;70.0;70.0;236.0;5.2;2.3;
2023-01-02;14:00:00;0.0;953.8;954.3;953.8;2146.3;27.5;21.7;27.5;25.8;21.7;20.2;73.0;68.0;71.0;214.0;5.5;1.3;
2023-01-02;15:00:00;0.0;952.8;953.8;952.8;2070.3;28.0;20.7;28.2;27.2;21.8;20.2;71.0;64.0;65.0;224.0;3.7;1.1;
2023-01-02;16:00:00;0.0;951.7;952.8;951.7;2844.0;28.7;20.9;29.2;27.8;22.0;20.4;68.0;60.0;63.0;230.0;4.0;1.3;
2023-01-02;17:00:00;0.0;950.4;951.7;950.4;2832.1;29.9;20.6;30.4;28.7;22.4;20.4;65.0;56.0;58.0;226.0;3.9;1.0;
2023-01-02;18:00:00;0.0;949.4;950.4;949.4;1451.9;29.3;20.9;30.0;29.2;21.6;20.0;62.0;57.0;61.0;239.0;3.6;1.6;
2023-01-02;19:00:00;0.0;949.0;949.4;949.0;928.1;28.7;21.3;29.3;28.7;21.4;20.6;65.0;60.0;65.0;239.0;4.5;2.5;
2023-01-02;20:00:00;0.0;949.0;949.0;948.6;445.8;26.0;20.7;28.7;26.0;21.8;20.7;73.0;64.0;73.0;237.0;7.8;4.8;
2023-01-02;21:00:00;0.0;949.9;949.9;949.0;423.2;24.7;19.6;26.0;24.6;20.8;19.3;74.0;71.0;73.0;234.0;7.8;1.2;
2023-01-02;22:00:00;0.4;951.0;951.0;949.9;65.5;22.8;19.6;24.8;22.8;19.7;19.2;82.0;73.0;82.0;220.0;5.0;0.4;
2023-01-02;23:00:00;0.4;951.0;951.0;949.9;65.5;22.8;19.6;24.8;22.8;19.7;19.2;82.0;73.0;82.0;220.0;5.0;0.4;
2023-01-03;00:00:00;0.4;951.0;951.0;949.9;65.5;22.8;19.6;24.8;22.8;19.7;19.2;82.0;73.0;82.0;220.0;5.0;0.4;
2023-01-03;01:00:00;0.4;951.0;951.0;949.9;65.5;22.8;19.6;24.8;22.8;19.7;19.2;82.0;73.0;82.0;220.0;5.0;0.4;
2023-01-03;02:00:00;0.4;951.0;951.0;949.9;65.5;22.8;19.6;24.8;22.8;19.7;19.2;82.0;73.0;82.0;220.0;5.0;0.4;
2023-01-03;03:00:00;0.4;951.0;951.0;949.9;65.5;22.8;19.6;24.8;22.8;19.7;19.2;82.0;73.0;82.0;220.0;5.0;0.4;
2023-01-03;04:00:00;0.4;951.0;951.0;949.9;65.5;22.8;19.6;24.8;22.8;19.7;19.2;82.0;73.0;82.0;220.0;5.0;0.4;
2023-01-03;05:00:00;0.4;951.0;951.0;949.9;65.5;22.8;19.6;24.8;22.8;19.7;19.2;82.0;73.0;82.0;220.0;5.0;0.4;
