Data;Hora;PRECIPITAÇÃO TOTAL;PRESSAO ATMOSFERICA;PRESSÃO ATMOSFERICA MAX (mB);PRESSÃO ATMOSFERICA MIN (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR BULBO SECO (°C);TEMP PONTO DE ORVALHO (°C);TEMP MAX (°C);TEMP MÍN (°C);TEMP ORVALHO MAX (°C);TEMP ORVALHO MIN (°C);UMIDADE REL. MAX (%);UMIDADE REL. MIN (%);UMIDADE RELATIVA DO AR (%);VENTO DIREÇÃO (gr)°;VENTO RAJADA (m/s);VENTO VELOCIDADE (m/s);Unnamed: 19
2023-01-01;00:00:00;0.0;896.9;897.0;896.1;;27.6;20.4;28.2;27.6;20.4;20.3;65.0;62.0;65.0;205.0;5.2;3.1;
2023-01-01;01:00:00;0.0;897.7;897.7;896.9;;26.6;20.6;27.6;26.6;20.7;20.4;70.0;65.0;70.0;201.0;5.2;2.8;
2023-01-01;02:00:00;0.0;898.0;898.1;897.7;;26.2;20.8;26.7;26.0;20.8;20.6;73.0;70.0;72.0;203.0;5.6;3.1;
2023-01-01;03:00:00;0.0;898.0;898.2;898.0;;25.4;21.2;26.3;25.4;21.3;20.7;78.0;72.0;78.0;194.0;7.4;3.5;
2023-01-01;04:00:00;0.0;897.5;898.0;897.5;;24.8;21.4;25.5;24.7;21.5;21.2;82.0;78.0;82.0;184.0;6.1;3.2;
2023-01-01;05:00:00;0.0;896.9;897.5;896.9;;24.3;21.2;24.9;24.3;21.5;21.2;83.0;81.0;83.0;191.0;5.5;2.8;
2023-01-01;06:00:00;0.0;896.7;896.9;896.6;;23.9;21.0;24.4;23.9;21.3;21.0;84.0;83.0;84.0;196.0;4.5;2.2;
2023-01-01;07:00:00;0.0;896.5;896.7;896.4;;23.8;20.9;24.0;23.8;21.1;20.9;84.0;84.0;84.0;198.0;5.7;3.0;
2023-01-01;08:00:00;0.0;897.1;897.1;896.5;;23.6;20.8;23.8;23.6;21.0;20.7;85.0;84.0;84.0;201.0;6.1;3.0;
2023-01-01;09:00:00;0.0;897.5;897.5;897.1;1.9;23.3;20.6;23.6;23.1;20.8;20.5;86.0;84.0;85.0;195.0;5.3;2.6;
