Data;Hora;PRECIPITAÇÃO TOTAL;PRESSAO ATMOSFERICA;PRESSÃO ATMOSFERICA MAX (mB);PRESSÃO ATMOSFERICA MIN (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR BULBO SECO (°C);TEMP PONTO DE ORVALHO (°C);TEMP MAX (°C);TEMP MÍN (°C);TEMP ORVALHO MAX (°C);TEMP ORVALHO MIN (°C);UMIDADE REL. MAX (%);UMIDADE REL. MIN (%);UMIDADE RELATIVA DO AR (%);VENTO DIREÇÃO (gr)°;VENTO RAJADA (m/s);VENTO VELOCIDADE (m/s);Unnamed: 19
2023-01-01;00:00:00;0.0;951.0;951.0;950.2;;26.0;20.1;27.2;25.9;20.1;19.6;70.0;63.0;70.0;204.0;3.8;1.8;
2023-01-01;01:00:00;0.0;951.8;951.8;951.0;;25.1;20.2;26.0;25.1;20.3;20.0;74.0;70.0;74.0;185.0;4.5;2.0;
2023-01-01;02:00:00;0.0;951.6;951.8;951.5;;24.6;19.8;25.1;24.6;20.2;19.8;75.0;74.0;75.0;175.0;4.5;2.0;
2023-01-01;03:00:00;0.0;951.4;951.7;951.3;;23.6;19.6;24.6;23.6;19.9;19.6;78.0;75.0;78.0;156.0;4.7;2.4;
2023-01-01;04:00:00;0.0;950.9;951.4;950.9;;23.5;19.3;23.7;23.4;19.6;19.1;78.0;76.0;77.0;175.0;4.4;1.4;
2023-01-01;05:00:00;0.0;950.2;950.9;950.2;;23.1;18.9;23.5;22.9;19.3;18.9;78.0;77.0;77.0;216.0;3.5;2.0;
2023-01-01;06:00:00;0.0;950.2;950.4;950.2;;22.8;18.6;23.1;22.8;18.9;18.6;77.0;76.0;77.0;191.0;3.9;2.0;
2023-01-01;07:00:00;0.0;950.4;950.4;950.2;;22.2;18.5;23.0;22.2;18.6;18.3;80.0;76.0;80.0;173.0;5.7;1.8;
2023-01-01;08:00:00;0.0;950.9;950.9;950.4;;21.9;18.9;22.2;21.8;18.9;18.5;83.0;80.0;83.0;205.0;5.1;2.7;
2023-01-01;09:00:00;0.0;951.4;951.4;950.9;88.3;23.0;19.8;23.0;21.9;19.8;18.9;85.0;82.0;82.0;218.0;7.7;3.4;
2023-01-01;10:00:00;0.0;952.1;952.2;951.4;847.4;24.5;19.9;24.5;23.0;20.1;19.6;82.0;75.0;75.0;196.0;7.7;3.1;
2023-01-01;11:00:00;0.0;952.7;952.7;952.1;1436.5;25.2;20.0;25.4;24.3;20.2;19.4;75.0;71.0;73.0;192.0;6.9;2.7;
2023-01-01;12:00:00;0.0;953.1;953.1;952.7;1582.5;26.4;20.2;26.8;25.2;20.7;19.6;73.0;66.0;69.0;160.0;6.0;3.3;
2023-01-01;13:00:00;0.0;953.0;953.2;953.0;2518.6;27.0;20.1;28.1;26.4;20.8;19.4;69.0;62.0;66.0;152.0;5.6;2.4;
2023-01-01;14:00:00;0.0;952.7;953.1;952.7;2646.6;28.2;20.3;28.5;27.0;21.4;19.7;67.0;61.0;62.0;115.0;5.7;2.5;
2023-01-01;15:00:00;0.0;952.0;952.7;952.0;3136.7;29.8;20.2;30.1;28.0;22.2;19.6;65.0;56.0;57.0;141.0;6.0;2.6;
2023-01-01;16:00:00;0.0;950.9;952.0;950.9;3442.5;30.0;19.0;30.6;29.5;21.0;18.5;59.0;50.0;52.0;138.0;6.0;2.1;
2023-01-01;17:00:00;0.0;949.8;950.9;949.8;3318.3;30.9;20.4;31.5;29.8;20.5;18.1;55.0;45.0;54.0;158.0;6.0;2.0;
2023-01-01;18:00:00;0.0;949.1;949.8;949.1;2697.1;32.1;19.8;32.2;30.7;20.7;18.0;54.0;44.0;48.0;150.0;6.0;2.4;
2023-01-01;19:00:00;0.0;948.4;949.2;948.4;2307.4;31.7;19.1;32.4;30.7;20.1;17.7;50.0;42.0;47.0;143.0;6.2;2.7;
2023-01-01;20:00:00;0.0;949.0;949.2;948.4;288.2;23.6;18.8;31.7;23.6;19.9;18.1;75.0;47.0;75.0;356.0;8.3;4.3;
2023-01-01;21:00:00;0.0;947.6;949.0;947.6;630.9;28.4;21.7;28.5;23.6;22.5;19.1;83.0;67.0;67.0;140.0;8.3;0.2;
2023-01-01;22:00:00;0.0;948.2;948.2;947.6;61.0;26.6;20.8;28.4;26.1;21.9;20.8;76.0;64.0;71.0;139.0;1.7;0.4;
2023-01-01;23:00:00;0.0;949.4;949.4;948.2;61.0;26.3;20.0;26.7;25.2;21.4;20.0;79.0;67.0;68.0;123.0;2.4;0.8;
2023-01-02;00:00:00;0.0;950.1;950.3;949.4;61.0;25.9;20.4;26.3;25.0;20.6;19.9;75.0;68.0;71.0;157.0;2.4;1.0;
2023-01-02;01:00:00;0.0;950.2;950.3;950.0;61.0;25.8;20.6;26.1;25.8;20.7;20.2;73.0;71.0;73.0;167.0;3.0;1.7;
2023-01-02;02:00:00;0.0;950.2;950.3;950.0;61.0;25.2;20.8;25.8;25.2;20.8;20.5;76.0;73.0;76.0;206.0;3.9;1.3;
2023-01-02;03:00:00;0.0;949.5;950.2;949.5;61.0;25.0;20.3;25.2;24.8;20.9;20.3;78.0;75.0;75.0;204.0;3.1;1.4;
2023-01-02;04:00:00;0.0;949.3;949.6;949.2;61.0;24.1;20.2;25.1;24.1;20.3;20.0;79.0;74.0;79.0;158.0;3.4;0.7;
2023-01-02;05:00:00;0.0;949.5;949.6;949.1;61.0;23.4;20.6;24.2;23.0;20.8;20.1;86.0;79.0;84.0;182.0;2.9;1.2;
2023-01-02;06:00:00;0.0;949.5;949.5;949.3;61.0;24.0;19.8;24.0;23.4;20.6;19.8;84.0;77.0;77.0;176.0;3.3;1.4;
2023-01-02;07:00:00;0.0;949.4;949.8;949.4;61.0;23.6;19.5;24.0;23.5;19.8;19.5;79.0;77.0;78.0;196.0;6.9;3.8;
2023-01-02;08:00:00;0.0;949.7;949.7;949.2;61.0;23.1;19.7;23.7;23.0;19.7;19.5;82.0;78.0;81.0;198.0;8.7;3.2;
2023-01-02;09:00:00;0.0;950.2;950.2;949.7;88.3;23.2;19.7;23.2;23.0;19.7;19.6;82.0;81.0;81.0;197.0;6.4;2.8;
2023-01-02;10:00:00;0.0;950.8;950.8;950.1;358.7;23.7;19.8;23.7;23.2;19.8;19.7;81.0;79.0;79.0;197.0;6.4;2.5;
