Data;Hora;PRECIPITAÇÃO TOTAL;PRESSAO ATMOSFERICA;PRESSÃO ATMOSFERICA MAX (mB);PRESSÃO ATMOSFERICA MIN (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR BULBO SECO (°C);TEMP PONTO DE ORVALHO (°C);TEMP MAX (°C);TEMP MÍN (°C);TEMP ORVALHO MAX (°C);TEMP ORVALHO MIN (°C);UMIDADE REL. MAX (%);UMIDADE REL. MIN (%);UMIDADE RELATIVA DO AR (%);VENTO DIREÇÃO (gr)°;VENTO RAJADA (m/s);VENTO VELOCIDADE (m/s);Unnamed: 19
2023-01-01;00:00:00;0.0;938.2;938.2;937.4;;23.1;19.1;23.7;23.1;19.4;19.0;79.0;76.0;79.0;252.0;0.0;0.0;
2023-01-01;01:00:00;0.0;938.9;938.9;938.2;;22.1;19.4;23.2;22.0;19.5;19.2;85.0;79.0;85.0;251.0;0.0;0.0;
2023-01-01;02:00:00;0.0;939.3;939.4;938.9;;21.8;19.4;22.2;21.4;19.7;18.8;88.0;84.0;86.0;216.0;0.0;0.0;
2023-01-01;03:00:00;0.0;939.0;939.3;938.9;;21.9;19.8;21.9;20.9;20.0;18.7;90.0;86.0;88.0;223.0;0.0;0.0;
2023-01-01;04:00:00;0.0;939.0;939.3;938.9;;21.9;19.8;21.9;20.9;20.0;18.7;90.0;86.0;88.0;223.0;0.0;0.0;
2023-01-01;05:00:00;0.0;939.0;939.3;938.9;;21.9;19.8;21.9;20.9;20.0;18.7;90.0;86.0;88.0;223.0;0.0;0.0;
2023-01-01;06:00:00;0.0;939.0;939.3;938.9;;21.9;19.8;21.9;20.9;20.0;18.7;90.0;86.0;88.0;223.0;0.0;0.0;
2023-01-01;07:00:00;0.0;939.0;939.3;938.9;;21.9;19.8;21.9;20.9;20.0;18.7;90.0;86.0;88.0;223.0;0.0;0.0;
2023-01-01;08:00:00;0.0;939.0;939.3;938.9;;21.9;19.8;21.9;20.9;20.0;18.7;90.0;86.0;88.0;223.0;0.0;0.0;
2023-01-01;09:00:00;0.0;939.0;939.3;938.9;;21.9;19.8;21.9;20.9;20.0;18.7;90.0;86.0;88.0;223.0;0.0;0.0;
2023-01-01;10:00:00;0.0;939.0;939.3;938.9;;21.9;19.8;21.9;20.9;20.0;18.7;90.0;86.0;88.0;223.0;0.0;0.0;
2023-01-01;11:00:00;0.0;939.0;939.3;938.9;;21.9;19.8;21.9;20.9;20.0;18.7;90.0;86.0;88.0;223.0;0.0;0.0;
2023-01-01;12:00:00;0.0;940.2;939.3;938.9;871.1;24.1;19.6;21.9;20.9;20.0;18.7;90.0;86.0;76.0;253.0;0.0;0.4;
2023-01-01;13:00:00;0.0;940.3;940.3;940.2;2675.5;25.4;20.8;26.1;24.1;21.0;19.7;78.0;71.0;76.0;253.0;5.7;0.0;
2023-01-01;14:00:00;0.0;940.0;940.3;940.0;2371.1;26.9;20.0;28.0;25.4;21.6;19.7;76.0;65.0;66.0;253.0;3.5;0.0;
2023-01-01;15:00:00;0.0;939.6;940.0;939.5;3102.8;28.0;19.3;29.2;26.6;21.9;19.0;70.0;57.0;59.0;238.0;7.3;0.1;
2023-01-01;16:00:00;0.0;938.8;939.6;938.8;2880.6;28.7;20.5;30.1;27.8;21.2;18.8;64.0;54.0;61.0;218.0;7.3;0.0;
2023-01-01;17:00:00;0.0;937.4;938.8;937.4;2414.7;30.4;20.3;30.8;28.4;21.1;18.7;62.0;53.0;55.0;231.0;0.0;0.0;
2023-01-01;18:00:00;0.0;937.1;937.4;937.1;1388.8;28.8;19.5;30.5;28.8;20.0;18.0;58.0;50.0;58.0;196.0;0.0;0.0;
