Data;Hora;PRECIPITAÇÃO TOTAL;PRESSAO ATMOSFERICA;PRESSÃO ATMOSFERICA MAX (mB);PRESSÃO ATMOSFERICA MIN (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR BULBO SECO (°C);TEMP PONTO DE ORVALHO (°C);TEMP MAX (°C);TEMP MÍN (°C);TEMP ORVALHO MAX (°C);TEMP ORVALHO MIN (°C);UMIDADE REL. MAX (%);UMIDADE REL. MIN (%);UMIDADE RELATIVA DO AR (%);VENTO DIREÇÃO (gr)°;VENTO RAJADA (m/s);VENTO VELOCIDADE (m/s);Unnamed: 19
2023-01-01;00:00:00;0.0;969.0;969.0;967.9;;28.6;21.6;29.5;28.6;21.6;21.1;66.0;62.0;66.0;87;7.6;4.1;
2023-01-01;01:00:00;0.0;969.8;969.8;969.0;;27.2;21.9;28.6;27.2;22.3;21.6;73.0;66.0;73.0;85;7.6;2.4;
2023-01-01;02:00:00;0.0;970.6;970.6;969.8;;26.4;21.7;27.3;26.2;22.1;21.7;77.0;73.0;76.0;71;5.1;2.2;
2023-01-01;03:00:00;0.0;970.1;970.6;970.1;;25.4;21.4;26.8;25.4;21.7;21.3;79.0;73.0;79.0;102;5.8;2.4;
2023-01-01;04:00:00;0.0;969.6;970.2;969.6;;25.0;21.8;25.5;24.8;21.8;21.3;82.0;78.0;82.0;85;4.6;2.5;
2023-01-01;05:00:00;0.0;969.1;969.6;969.1;;24.8;21.7;25.1;24.5;21.9;21.6;85.0;82.0;83.0;78;4.3;2.7;
2023-01-01;06:00:00;0.0;968.8;969.1;968.7;;24.5;21.6;25.1;24.3;21.7;21.4;84.0;81.0;84.0;83;5.3;2.7;
2023-01-01;07:00:00;0.0;968.5;968.9;968.5;;24.2;21.4;24.6;24.2;21.6;21.4;85.0;83.0;85.0;95;5.2;2.5;
2023-01-01;08:00:00;0.0;968.8;968.8;968.5;;23.8;21.6;24.2;23.8;21.6;21.3;87.0;85.0;87.0;92;4.7;2.2;
2023-01-01;09:00:00;0.0;969.7;969.7;968.8;3.4;23.5;21.6;23.8;23.5;21.7;21.4;89.0;87.0;89.0;91;5.8;3.1;
2023-01-01;10:00:00;0.0;970.3;970.3;969.6;324.2;24.4;21.8;24.4;23.5;22.0;21.7;90.0;86.0;86.0;94;6.9;3.5;
2023-01-01;11:00:00;0.0;970.9;970.9;970.2;1130.7;26.1;22.6;26.3;24.3;22.9;21.8;86.0;81.0;81.0;77;7.5;4.1;
2023-01-01;12:00:00;0.0;971.6;971.6;970.9;2077.6;27.9;23.2;27.9;26.0;23.2;22.5;82.0;75.0;76.0;79;8.2;4.1;
2023-01-01;13:00:00;0.0;971.5;971.7;971.4;2706.0;29.3;22.5;29.9;27.7;23.7;22.5;76.0;66.0;67.0;59;6.8;3.1;
2023-01-01;14:00:00;0.0;971.2;971.5;971.1;2035.8;30.5;21.9;30.8;28.8;23.3;21.9;69.0;60.0;60.0;19;6.6;3.2;
2023-01-01;15:00:00;0.0;970.7;971.2;970.7;2468.9;30.8;21.8;32.2;30.5;22.7;21.4;61.0;55.0;59.0;41;6.3;3.3;
2023-01-01;16:00:00;0.0;969.9;970.7;969.8;3382.6;33.8;20.3;33.9;30.7;22.7;20.2;59.0;45.0;45.0;51;5.8;2.7;
2023-01-01;17:00:00;0.0;969.1;969.9;969.1;3604.2;32.0;22.5;35.4;29.9;23.3;18.6;64.0;41.0;57.0;286;8.8;5.2;
2023-01-01;18:00:00;0.0;968.1;969.1;968.0;3219.0;34.0;20.1;34.0;31.2;22.6;19.8;58.0;44.0;44.0;331;7.9;2.6;
