Data;Hora;PRECIPITAÇÃO TOTAL;PRESSAO ATMOSFERICA;PRESSÃO ATMOSFERICA MAX (mB);PRESSÃO ATMOSFERICA MIN (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR BULBO SECO (°C);TEMP PONTO DE ORVALHO (°C);TEMP MAX (°C);TEMP MÍN (°C);TEMP ORVALHO MAX (°C);TEMP ORVALHO MIN (°C);UMIDADE REL. MAX (%);UMIDADE REL. MIN (%);UMIDADE RELATIVA DO AR (%);VENTO DIREÇÃO (gr)°;VENTO RAJADA (m/s);VENTO VELOCIDADE (m/s);Unnamed: 19
2023-01-01;00:00:00;0.0;964.7;964.7;964.3;;27.0;17.5;28.9;27.0;17.9;17.4;56.0;50.0;56.0;112.0;2.6;1.5;
2023-01-01;01:00:00;0.0;965.3;965.3;964.7;;26.6;17.9;27.1;26.6;17.9;17.4;59.0;56.0;59.0;108.0;2.7;2.3;
2023-01-01;02:00:00;0.0;965.9;965.9;965.3;;26.1;18.2;26.6;25.6;18.4;17.8;63.0;59.0;62.0;90.0;2.9;2.0;
2023-01-01;03:00:00;0.0;965.8;966.0;965.8;;24.7;18.5;26.1;24.7;18.6;18.2;68.0;62.0;68.0;114.0;3.1;2.4;
2023-01-01;04:00:00;0.0;965.9;965.9;965.7;;24.5;18.6;24.9;24.1;18.7;18.4;71.0;68.0;70.0;100.0;3.9;2.0;
2023-01-01;05:00:00;0.0;965.7;965.9;965.7;;23.5;19.0;24.5;23.4;19.0;18.6;76.0;70.0;76.0;103.0;3.2;2.5;
2023-01-01;06:00:00;0.0;965.5;965.7;965.4;;23.3;19.1;24.2;23.1;19.2;18.9;77.0;73.0;77.0;113.0;3.2;2.4;
2023-01-01;07:00:00;0.0;965.4;965.5;965.2;;22.7;18.8;23.5;22.5;19.1;18.7;79.0;76.0;79.0;107.0;4.3;3.5;
2023-01-01;08:00:00;0.0;965.7;965.8;965.4;;22.4;18.6;22.8;22.4;18.8;18.6;79.0;78.0;79.0;108.0;4.6;2.2;
2023-01-01;09:00:00;0.0;966.2;966.2;965.7;11.3;22.4;18.9;22.6;21.8;18.9;18.5;82.0;79.0;81.0;105.0;4.6;3.5;
2023-01-01;10:00:00;0.0;966.8;966.8;966.2;395.7;25.0;19.8;25.0;22.3;19.8;18.9;81.0;73.0;73.0;94.0;5.3;3.8;
