Data;Hora;PRECIPITAÇÃO TOTAL;PRESSAO ATMOSFERICA;PRESSÃO ATMOSFERICA MAX (mB);PRESSÃO ATMOSFERICA MIN (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR BULBO SECO (°C);TEMP PONTO DE ORVALHO (°C);TEMP MAX (°C);TEMP MÍN (°C);TEMP ORVALHO MAX (°C);TEMP ORVALHO MIN (°C);UMIDADE REL. MAX (%);UMIDADE REL. MIN (%);UMIDADE RELATIVA DO AR (%);VENTO DIREÇÃO (gr)°;VENTO RAJADA (m/s);VENTO VELOCIDADE (m/s);Unnamed: 19
2023-01-01;00:00:00;0.0;1008.1;1008.1;1007.3;;24.4;21.1;24.6;24.4;21.6;21.0;84.0;82.0;82.0;114.0;3.8;1.2;
2023-01-01;01:00:00;0.0;1008.7;1008.7;1008.1;;24.3;20.9;24.4;24.3;21.1;20.9;82.0;81.0;82.0;89.0;4.4;1.1;
2023-01-01;02:00:00;0.0;1008.8;1009.0;1008.7;;24.0;21.1;24.3;24.0;21.1;20.9;84.0;82.0;83.0;101.0;4.8;2.0;
2023-01-01;03:00:00;0.0;1008.2;1008.8;1008.2;;23.7;21.1;24.1;23.7;21.1;21.0;85.0;83.0;85.0;137.0;3.6;0.8;
2023-01-01;04:00:00;0.0;1007.6;1008.2;1007.6;;23.1;21.4;23.8;23.1;21.4;21.1;90.0;85.0;90.0;208.0;3.2;0.2;
2023-01-01;05:00:00;0.0;1007.4;1007.6;1007.4;;22.4;21.7;23.1;22.4;22.1;21.4;98.0;90.0;96.0;175.0;1.3;0.7;
2023-01-01;06:00:00;0.0;1007.2;1007.4;1007.2;;22.1;21.7;22.4;22.0;22.1;21.4;98.0;90.0;96.0;159.0;1.8;0.8;
2023-01-01;07:00:00;0.0;1007.0;1007.2;1007.0;;22.0;22.0;22.1;21.9;22.1;21.4;98.0;90.0;100.0;147.0;2.7;2.0;
2023-01-01;08:00:00;0.0;1007.3;1007.3;1007.0;;21.3;22.0;22.0;21.3;22.1;21.4;98.0;90.0;100.0;191.0;2.5;0.7;
2023-01-01;09:00:00;0.0;1007.9;1007.9;1007.3;33.8;21.3;22.0;21.3;21.2;22.1;21.4;98.0;90.0;100.0;42.0;1.4;0.1;
2023-01-01;10:00:00;0.0;1008.3;1008.4;1007.9;436.3;23.3;20.9;23.3;21.3;22.1;21.4;98.0;90.0;86.0;200.0;2.0;0.1;
2023-01-01;11:00:00;0.0;1008.7;1008.7;1008.3;1403.6;25.1;21.0;25.5;23.3;22.3;20.6;87.0;78.0;78.0;352.0;2.0;0.4;
2023-01-01;12:00:00;0.0;1008.9;1008.9;1008.6;2255.3;27.3;21.6;27.3;25.0;22.2;20.5;81.0;69.0;71.0;50.0;3.0;0.9;
