Data;Hora;PRECIPITAÇÃO TOTAL;PRESSAO ATMOSFERICA;PRESSÃO ATMOSFERICA MAX (mB);PRESSÃO ATMOSFERICA MIN (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR BULBO SECO (°C);TEMP PONTO DE ORVALHO (°C);TEMP MAX (°C);TEMP MÍN (°C);TEMP ORVALHO MAX (°C);TEMP ORVALHO MIN (°C);UMIDADE REL. MAX (%);UMIDADE REL. MIN (%);UMIDADE RELATIVA DO AR (%);VENTO DIREÇÃO (gr)°;VENTO RAJADA (m/s);VENTO VELOCIDADE (m/s);Unnamed: 19
2023-01-01;00:00:00;;;;;;;;;;;;;;;;;;
2023-01-01;01:00:00;;;;;;;;;;;;;;;;;;
2023-01-01;02:00:00;;;;;;;;;;;;;;;;;;
2023-01-01;03:00:00;;;;;;;;;;;;;;;;;;
2023-01-01;04:00:00;;;;;;;;;;;;;;;;;;
2023-01-01;05:00:00;;;;;;;;;;;;;;;;;;
2023-01-01;06:00:00;;;;;;;;;;;;;;;;;;
2023-01-01;07:00:00;;;;;;;;;;;;;;;;;;
2023-01-01;08:00:00;;;;;;;;;;;;;;;;;;
2023-01-01;09:00:00;;;;;;;;;;;;;;;;;;
2023-01-01;10:00:00;0.0;945.3;945.3;944.9;421.4;22.6;21.3;22.7;20.9;21.5;20.7;99.0;92.0;93.0;81.0;6.1;3.9;
2023-01-01;11:00:00;0.0;946.0;946.1;945.3;1233.6;25.0;22.2;25.0;22.6;22.6;21.4;94.0;84.0;84.0;67.0;6.6;4.4;
2023-01-01;12:00:00;0.0;946.4;946.4;946.0;1831.8;25.7;22.5;25.8;24.8;23.0;21.8;88.0;81.0;82.0;51.0;8.5;4.7;
2023-01-01;13:00:00;0.0;946.6;946.6;946.4;2771.6;27.9;22.9;28.2;25.7;23.8;21.9;82.0;71.0;74.0;40.0;6.9;3.5;
2023-01-01;14:00:00;0.0;946.4;946.6;946.3;2354.6;30.3;24.1;31.0;27.2;25.3;22.1;80.0;68.0;70.0;2.0;6.6;3.7;
2023-01-01;15:00:00;0.0;945.9;946.4;945.9;3204.9;29.7;23.9;31.9;28.0;26.1;22.7;78.0;63.0;71.0;2.0;7.1;3.9;
2023-01-01;16:00:00;0.0;945.2;945.9;945.2;3624.9;32.2;24.3;32.9;29.7;25.5;22.6;74.0;59.0;63.0;358.0;7.5;3.6;
2023-01-01;17:00:00;0.0;944.3;945.2;944.3;2710.8;32.9;24.6;32.9;28.9;25.5;22.7;72.0;59.0;62.0;356.0;7.0;3.6;
2023-01-01;18:00:00;0.0;943.4;944.3;943.4;3109.4;32.0;23.4;33.4;31.2;24.9;22.0;65.0;54.0;61.0;340.0;6.4;2.9;
2023-01-01;19:00:00;0.0;942.7;943.4;942.7;2706.2;32.4;22.7;32.9;30.7;24.1;21.1;63.0;53.0;57.0;324.0;6.8;2.8;
2023-01-01;20:00:00;0.0;941.7;942.7;941.7;2121.6;32.6;22.3;33.4;31.8;23.5;21.5;60.0;52.0;55.0;3.0;5.6;2.5;
2023-01-01;21:00:00;0.0;941.3;941.7;941.3;1242.9;30.5;21.9;32.9;30.4;23.5;21.1;61.0;54.0;60.0;17.0;4.3;2.3;
2023-01-01;22:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-01;23:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;00:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;01:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;02:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;03:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;04:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;05:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;06:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;07:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;08:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;09:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;10:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;11:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;12:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;13:00:00;0.0;941.4;941.4;941.1;417.5;28.5;22.4;31.3;28.5;24.1;21.6;70.0;59.0;70.0;352.0;3.6;2.6;
2023-01-02;14:00:00;0.2;945.1;945.8;945.1;244.2;19.6;19.6;19.6;18.7;19.6;18.7;100.0;100.0;100.0;158.0;2.5;1.0;
2023-01-02;15:00:00;0.0;944.8;945.3;944.8;749.5;20.2;20.1;20.2;19.5;20.2;19.5;100.0;100.0;100.0;322.0;2.9;1.1;
2023-01-02;16:00:00;0.0;943.6;944.8;943.6;1153.6;22.3;20.7;22.3;19.9;21.4;19.4;100.0;91.0;91.0;222.0;2.7;1.2;
2023-01-02;17:00:00;0.0;942.1;943.6;942.1;2736.8;23.8;20.5;25.0;22.3;22.6;19.8;92.0;75.0;82.0;249.0;3.3;1.4;
2023-01-02;18:00:00;0.2;941.5;942.1;941.5;2289.0;24.4;20.7;25.1;23.6;22.1;19.4;87.0;76.0;80.0;244.0;3.9;1.9;
2023-01-02;19:00:00;0.0;940.4;941.5;940.4;1895.8;25.5;20.8;25.5;23.8;22.2;20.4;87.0;75.0;75.0;227.0;4.4;1.3;
2023-01-02;20:00:00;0.0;940.0;940.4;940.0;808.7;24.0;21.7;26.2;23.9;22.0;19.9;88.0;71.0;88.0;122.0;3.1;1.8;
2023-01-02;21:00:00;0.0;940.2;940.2;939.7;356.6;23.2;21.7;24.0;23.2;22.4;21.4;93.0;87.0;91.0;72.0;2.8;2.0;
2023-01-02;22:00:00;0.0;940.7;940.7;940.2;80.8;22.1;22.0;23.2;22.1;22.6;21.6;100.0;91.0;100.0;338.0;3.1;2.1;
2023-01-02;23:00:00;0.0;940.7;940.7;940.2;80.8;22.1;22.0;23.2;22.1;22.6;21.6;100.0;91.0;100.0;338.0;3.1;2.1;
