Data;Hora;PRECIPITAÇÃO TOTAL;PRESSAO ATMOSFERICA;PRESSÃO ATMOSFERICA MAX (mB);PRESSÃO ATMOSFERICA MIN (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR BULBO SECO (°C);TEMP PONTO DE ORVALHO (°C);TEMP MAX (°C);TEMP MÍN (°C);TEMP ORVALHO MAX (°C);TEMP ORVALHO MIN (°C);UMIDADE REL. MAX (%);UMIDADE REL. MIN (%);UMIDADE RELATIVA DO AR (%);VENTO DIREÇÃO (gr)°;VENTO RAJADA (m/s);VENTO VELOCIDADE (m/s);Unnamed: 19
2023-01-01;00:00:00;0.0;919.9;919.9;919.5;;19.8;18.7;21.3;19.8;18.7;18.4;93.0;84.0;93.0;;;;
2023-01-01;01:00:00;0.0;920.6;920.6;919.9;;19.7;18.6;20.2;19.4;18.8;18.3;95.0;91.0;93.0;;;;
2023-01-01;02:00:00;0.0;920.9;921.0;920.6;;18.9;18.4;19.7;18.8;18.7;18.2;97.0;93.0;96.0;;;;
2023-01-01;03:00:00;0.0;920.9;920.9;920.8;;18.8;17.9;19.1;18.5;18.4;17.8;97.0;94.0;94.0;;;;
2023-01-01;04:00:00;0.0;920.6;920.9;920.6;;18.4;17.6;18.8;18.0;17.9;17.5;98.0;94.0;95.0;;;;
2023-01-01;05:00:00;0.0;920.3;920.6;920.3;;17.5;17.4;18.5;17.4;17.6;17.0;100.0;93.0;99.0;;;;
2023-01-01;06:00:00;0.0;920.1;920.3;920.1;;16.7;16.7;17.7;16.7;17.5;16.6;100.0;98.0;100.0;;;;
2023-01-01;07:00:00;0.0;920.0;920.2;919.9;;16.5;16.5;17.5;16.4;17.1;16.2;100.0;96.0;100.0;;;;
2023-01-01;08:00:00;0.0;920.5;920.5;920.0;;17.2;16.8;17.4;16.3;17.4;16.2;100.0;97.0;97.0;;;;
2023-01-01;09:00:00;0.0;921.1;921.1;920.5;9.6;16.6;16.5;17.2;16.3;16.9;16.2;100.0;97.0;100.0;;;;
2023-01-01;10:00:00;0.0;921.5;921.5;921.1;439.2;20.8;19.2;20.8;16.6;19.3;16.6;100.0;91.0;91.0;;;;
2023-01-01;11:00:00;0.0;922.0;922.0;921.5;1321.5;23.2;19.8;23.2;20.8;19.8;18.7;91.0;79.0;82.0;;;;
2023-01-01;12:00:00;0.0;922.2;922.2;922.0;2197.8;25.3;20.3;25.5;23.2;21.4;19.3;82.0;73.0;73.0;;;;
2023-01-01;13:00:00;0.0;922.3;922.3;922.2;2482.0;26.0;19.7;27.1;25.2;21.3;19.7;77.0;66.0;68.0;;;;
2023-01-01;14:00:00;0.0;922.0;922.4;922.0;3407.2;27.6;19.6;28.3;25.9;21.3;19.5;71.0;61.0;62.0;;;;
